?cls	?def
<http://purl.obolibrary.org/obo/NBO_0000177>	"\"A decrease in a behavioral response to a repeated stimulus.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/PATO_0000001>	"A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities"
<http://purl.obolibrary.org/obo/UBERON_0004088>	"The subdivision of the face that includes the eye (eyeball plus adnexa such as eyelids) and the orbit of the skull and associated parts of the face such as the eyebrows, if present"
<http://purl.obolibrary.org/obo/UBERON_0000026>	"Major subdivision of an organism that protrudes from the body[DOS, CARO]."
<http://purl.obolibrary.org/obo/UBERON_0011820>	"An anatomical junction that divides and overlaps with and atrium and a ventricle in the heart."
<http://purl.obolibrary.org/obo/UBERON_0001015>	"A subdivision of the muscular system corresponding to a subdisivision of an organism."
<http://purl.obolibrary.org/obo/UBERON_0011137>	"Subdivision of the skeletal system which consists of the axial skeleton plus associated joints."
<http://purl.obolibrary.org/obo/UBERON_0000075>	"Anatomical cluster consisting of the skeletal elements and articular elements that are part of an individual subdivision of the organism."
<http://purl.obolibrary.org/obo/NBO_0000080>	"The act of moving the body core lower, closer to the ground [NOB:SMAC]"
<http://purl.obolibrary.org/obo/UBERON_0011585>	"Anatomical structure that is an aggregation of similar cells from which cartilages and bones form, and from which chondrogenesis and osteogenesis are initiated during repair and/or regeneration. (Hall and Miyake 1995)."
<http://purl.obolibrary.org/obo/NBO_0000411>	"\"A reflex that involves cranial nerves.\" [wikipedia:Reflex]"
<http://purl.obolibrary.org/obo/PATO_0001563>	"A mass which is higher than normal or average."
<http://purl.obolibrary.org/obo/UBERON_0001556>	"Subdivision of urinary system which consists of the urinary bladder and the urethra."
<http://purl.obolibrary.org/obo/UBERON_0003697>	"The tissues that surround the organs that are present within the abdominal cavity. The abdominal wall tissue is composed of layers of fat, parietal peritoneum, fascia, and muscles."
<http://purl.obolibrary.org/obo/UBERON_0012463>	"A anatomical space that is enclosed by a cloaca."
<http://purl.obolibrary.org/obo/CHEBI_33308>	"An ester of a carboxylic acid, R(1)C(=O)OR(2), where R(1) = H or organyl and R(2) = organyl."
<http://purl.obolibrary.org/obo/UBERON_0000080>	"The second stage of the kidney. It serves as the main excretory organ of aquatic vertebrates and as a temporary embryonic kidney in higher vertebrates. It is composed of the mesonephric duct (also called the Wolffian duct), mesonephric tubules, and associated capillary tufts. A single tubule and its associated capillary tuft is called a mesonephric excretory unit; these units are similar in structure and function to nephrons of the adult kidney. The mesonephros is derived from intermediate mesoderm in the vertebrate embryo."
<http://purl.obolibrary.org/obo/UBERON_0013686>	"An anatomical space which is the lumen of some anatomical conduit and connects two or more spaces together[FMA,modified]."
<http://purl.obolibrary.org/obo/UBERON_0000464>	"Non-material anatomical entity of three dimensions, that is generated by morphogenetic or other physiologic processes; is surrounded by one or more anatomical structures; contains one or more organism substances or anatomical structures."
<http://purl.obolibrary.org/obo/NBO_0000674>	"\"A type of epilepsy characterised by multiple different types of seizures, particularly including tonic (stiffening) and atonic (drop) types of seizures.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/PATO_0001309>	"A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point."
<http://purl.obolibrary.org/obo/UBERON_0012378>	"A muscular coat that is part of a urinary bladder."
<http://purl.obolibrary.org/obo/UBERON_0001458>	"A zone of skin that is part of a lip [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0004161>	"A thick plate of mesodermal tissue that occupies the space between the thoracic cavity and yolk stalk in the early embryo, forming a transverse partition partially separating the coelomic cavity into thoracic and abdominal portions. It gives rise to the central tendon of the diaphragm[VHOG]."
<http://purl.obolibrary.org/obo/CHEBI_60056>	"The conjugate base of cocaine arising from protonation of the tertiary amino group; major species at pH 7.3."
<http://purl.obolibrary.org/obo/CHEBI_35274>	"A derivative of ammonium, NH4(+), in which one (or more) of the hydrogens bonded to the nitrogen have been replaced with univalent organyl groups. The substituting carbon of the organyl group must not itself be directly attached to a heteroatom (thereby excluding protonated amides, hemiaminals, etc)."
<http://purl.obolibrary.org/obo/UBERON_0010230>	"The core globe-shaped component of the camera-type eye."
<http://purl.obolibrary.org/obo/UBERON_0002466>	"Clear to pale yellow watery secretions from the glands lining the small intestine walls. Secretion is stimulated by the mechanical pressure of partly digested food in the intestine."
<http://purl.obolibrary.org/obo/UBERON_0000456>	"A portion of organism substance that is produced by exocrine glands."
<http://purl.obolibrary.org/obo/UBERON_0004638>	"An endothelium that lines the blood vasculature. Other endothelia may line lymph vessels, the heart"
<http://purl.obolibrary.org/obo/UBERON_0007823>	"An organism subdivision that encompasses the region containing the pectoral or pelvic girdle. Note that this includes both the skeletal elements and associated tissues (integument, muscle, etc)."
<http://purl.obolibrary.org/obo/UBERON_0004755>	"A specialized form of connective tissue in which the extracellular matrix is firm, providing the tissue with resilience, and/or mineralized and that functions in mechanical and structural support.[VSAO]"
<http://purl.obolibrary.org/obo/UBERON_0000162>	"Common chamber into which the intestines and excretory system opens. Arises during development in all vertebrates, but in many it becomes subdivided, lost or incorporated into other structures"
<http://purl.obolibrary.org/obo/GO_1905790>	"Any process that modulates the frequency, rate or extent of mechanosensory behavior."
<http://purl.obolibrary.org/obo/CHEBI_22563>	"A monoatomic or polyatomic species having one or more elementary charges of the electron."
<http://purl.obolibrary.org/obo/UBERON_0005032>	"A mucosa that is part of a lower lip [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0001042>	"A portion of the respiratory and digestive tracts; its distal limit is the superior part of the esophagus and it connects the nasal and oral cavities with the esophagus and larynx; it contains the valleculae and the pyriform recesses; its upper limits are the nasal cavity and cranial base.[FEED]."
<http://purl.obolibrary.org/obo/UBERON_0003413>	"Mesenchyme that is part of a pectoral appendage bud."
<http://purl.obolibrary.org/obo/UBERON_0010329>	"Mesenchyme that is part of a limb/fin bud."
<http://purl.obolibrary.org/obo/UBERON_0005702>	"Mesenchyme that is part of a optic eminence."
<http://purl.obolibrary.org/obo/UBERON_0005291>	"A portion of tissue that is part of an embryo."
<http://purl.obolibrary.org/obo/NBO_0000043>	"A behavior that occurs between two individuals, such as parent and child, and involves an emotional attachment that implies a special and focused relationship."
<http://purl.obolibrary.org/obo/UBERON_0002365>	"A gland that secretes products (excluding hormones and other chemical messengers) into ducts (duct glands) which lead directly into the external environment[WP]. Typical exocrine glands include sweat glands, salivary glands, mammary glands, stomach, liver, pancreas"
<http://purl.obolibrary.org/obo/UBERON_0003513>	"A blood vessel that is part of a trunk [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0003838>	"A portion of connective tissue that is part of an abdominal segment of trunk [Automatically generated definition]."
<http://purl.obolibrary.org/obo/NBO_0000637>	"\"The actions or reactions of a male, for the purpose of attracting a sexual partner.\" [GOC:bf]"
<http://purl.obolibrary.org/obo/NBO_0000077>	"\"The behavioral interactions between organisms for the purpose of attracting sexual partners.\" [GOC:dph]"
<http://purl.obolibrary.org/obo/UBERON_0001456>	"A subdivision of the head that has as parts the layers deep to the surface of the anterior surface, including the mouth, eyes, and nose (when present). In vertebrates, this includes the facial skeleton and structures superficial to the facial skeleton (cheeks, mouth, eyeballs, skin of face, etc)."
<http://purl.obolibrary.org/obo/UBERON_0000030>	"A thin layer of loose connective tissue which lies beneath the epithelium and together with the epithelium constitutes the mucosa[WP]. The lamina propria contains capillaries and a central lacteal (lymph vessel) in the small intestine, as well as lymphoid tissue. Lamina propria also contains glands with the ducts opening on to the mucosal epithelium, that secrete mucus and serous secretions."
<http://purl.obolibrary.org/obo/UBERON_0004786>	"A mucosa that is part of a gastrointestinal system."
<http://purl.obolibrary.org/obo/UBERON_0003929>	"An epithelium that lines the lumen of the digestive tract."
<http://purl.obolibrary.org/obo/UBERON_0001048>	"Primordia are populations of contiguous cells that are morphologically distinct and already correspond in extent to a later organ/tissue[FBbt, Hartenstein, V. (2004)]."
<http://purl.obolibrary.org/obo/NBO_0000388>	"\"Behavior related to movements that occur independent of planning.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0001773>	"Opaque fibrous outer layer of the eyeball[ZFA,Kardong,WP]."
<http://purl.obolibrary.org/obo/UBERON_0005109>	"Any smooth muscle tissue that is part of a metanephros."
<http://purl.obolibrary.org/obo/UBERON_0010719>	"The subdivision of the skeleton of either the pectoral or pelvic girdle."
<http://purl.obolibrary.org/obo/UBERON_0003371>	"An unilaminar epithelium that surrounds a pelvic appendage bud."
<http://purl.obolibrary.org/obo/UBERON_0001772>	"the smooth stratified squamous epithelium that covers the outer surface of the cornea"
<http://purl.obolibrary.org/obo/UBERON_0000916>	"The subdivision of the vertebrate body between the thorax and pelvis. The ventral part of the abdomen contains the abdominal cavity and visceral organs. The dorsal part includes the abdominal section of the vertebral column."
<http://purl.obolibrary.org/obo/UBERON_0011249>	"Subdivision of the skeletal system which consists of the appendicular skeleton plus associated joints."
<http://purl.obolibrary.org/obo/UBERON_0000042>	"multi-tissue structure that is comprised of a secretory epithelial layer (mesothelium) and a connective tissue layer."
<http://purl.obolibrary.org/obo/UBERON_0000481>	"Anatomical structure that has as its parts two or more portions of tissue of at least two different types and which through specific morphogenetic processes forms a single distinct structural unit demarcated by bona-fide boundaries from other distinct structural units of different types."
<http://purl.obolibrary.org/obo/UBERON_0005061>	"The median dorsal longitudinal groove formed in the embryo by the neural plate after the appearance of the neural folds."
<http://purl.obolibrary.org/obo/UBERON_0007242>	"A tunica intima that is part of a vein."
<http://purl.obolibrary.org/obo/UBERON_0005095>	"."
<http://purl.obolibrary.org/obo/CHEBI_33273>	"An anion consisting of more than one atom."
<http://purl.obolibrary.org/obo/CHEBI_36358>	"An ion consisting of more than one atom."
<http://purl.obolibrary.org/obo/UBERON_0012465>	"A anatomical space that is enclosed by a terminal part of digestive tract."
<http://purl.obolibrary.org/obo/UBERON_0004880>	"The central region of trunk mesoderm. This tissue forms the notochord"
<http://purl.obolibrary.org/obo/CHEBI_17790>	"The primary alcohol that is the simplest aliphatic alcohol, comprising a methyl and an alcohol group."
<http://purl.obolibrary.org/obo/UBERON_0004790>	"A mucous gland that is part of the skin."
<http://purl.obolibrary.org/obo/UBERON_0003426>	"An adipose tissue that is part of a dermis [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0000076>	"The surface (external) layer of ectoderm which begins to proliferate shortly after separation from the neuroectoderm."
<http://purl.obolibrary.org/obo/UBERON_0006314>	"Liquid components of living organisms. includes fluids that are excreted or secreted from the body as well as body water that normally is not."
<http://purl.obolibrary.org/obo/UBERON_0009142>	"Sum total of mesenchyme in the embryo."
<http://purl.obolibrary.org/obo/NBO_0000006>	"\"Behavior related to the acquisition and processing of information and/or the storage and retrieval of this information over time.\" [GO:jic]"
<http://purl.obolibrary.org/obo/NBO_0000607>	"\"Behaviour related to cognitive processes.\" [NBO:JH]"
<http://purl.obolibrary.org/obo/UBERON_0004849>	"An endothelium of vein that is part of a respiratory system [Automatically generated definition]."
<http://purl.obolibrary.org/obo/NBO_0000266>	"\"Observable characteristic of behaviour related to cognitive processes.\" [NBO:RH]"
<http://purl.obolibrary.org/obo/NBO_0000243>	"\"An observable characteristic of the behavior of an organism.\" [NBO:RH]"
<http://purl.obolibrary.org/obo/GO_0007631>	"Behavior associated with the intake of food."
<http://purl.obolibrary.org/obo/GO_0007610>	"The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity."
<http://purl.obolibrary.org/obo/UBERON_0007798>	"Anatomical system that consists of all blood and lymph vessels."
<http://purl.obolibrary.org/obo/UBERON_0004779>	"A lamina propria that is part of a respiratory system [Automatically generated definition]."
<http://purl.obolibrary.org/obo/NBO_0001915>	"\"Behavior related to the intake of cocaine.\" [NBOC:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0002553>	"Anatomical space which contains portions of one or more body substances and is bounded by the internal surface of one maximally connected anatomical structure. Examples: cranial cavity, pharyngeal recess space, nasal cavity, tooth socket, cavity of serous sac, lumen of stomach, lumen of artery, fornix of vagina."
<http://purl.obolibrary.org/obo/UBERON_0000390>	"The core of the crystalline lens, surrounded by the cortex."
<http://purl.obolibrary.org/obo/UBERON_0004357>	"An outgrowth on the lateral trunk of the embryo that develops into a limb or paired fin. The limb/fin bud is divided into ectoderm and mesenchyme[cjm, modified from MP]."
<http://purl.obolibrary.org/obo/UBERON_0013514>	"The space that surrounds an organism."
<http://purl.obolibrary.org/obo/NBO_0000502>	"\"A NREM parasomnia characterised by talking during sleep.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/NBO_0000499>	"\"A type of parasomnia that occurs during NREM sleep.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0003519>	"A blood vessel that is part of a thoracic cavity [Automatically generated definition]."
<http://purl.obolibrary.org/obo/NBO_0000762>	"\"Observable characteristic of behavior related to the act of sexual union between male and female, involving the transfer of sperm.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/NBO_0000758>	"\"Observable characteristic of behavior related to the activity which primary purpose is the sexual reproduction.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0001896>	"Organ component of neuraxis that has as its parts the medullary reticular formation, inferior olivary complex and cochlear nuclear complex, among other structures[FMA]. The medulla oblongata lies directly above the spinal cord and controls vital autonomic functions such as digestion, breathing and the control of heart rate[GO]."
<http://purl.obolibrary.org/obo/UBERON_0000925>	"Primary germ layer that lies remote from the surface of the embryo and gives rise to internal tissues such as gut."
<http://purl.obolibrary.org/obo/UBERON_0015178>	"A region of somite adjacent to presomitic mesoderm."
<http://purl.obolibrary.org/obo/UBERON_0005058>	"A gland that is part of a hemolymphoid system [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0002530>	"an organ that functions as a secretory or excretory organ"
<http://purl.obolibrary.org/obo/UBERON_0003081>	"Portion of the middle of the three primary germ layers of the embryo that resides on the periphery of the embryo, is continuous with the extra-embryonic mesoderm, splits into two layers enclosing the intra-embryonic coelom, and gives rise to body wall structures[MP]."
<http://purl.obolibrary.org/obo/UBERON_0011595>	"A subdivision of the head that corresponds to the jaw skeleton, containing both soft tissue, skeleton and teeth (when present). The jaw region is divided into upper and lower regions."
<http://purl.obolibrary.org/obo/CHEBI_36357>	"Any molecular entity consisting of more than one atom."
<http://purl.obolibrary.org/obo/UBERON_0035549>	"The part of the circulatory system that lies within the subcutaneous tissue layers close to the surface of the skin."
<http://purl.obolibrary.org/obo/UBERON_0019319>	"An exocrine gland that is part of a integumental system."
<http://purl.obolibrary.org/obo/UBERON_0004225>	"A portion of smooth muscle tissue that is part of a respiratory system [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0003099>	"neural crest cells (NCCs) originating in the anterior part of the developing embryo and residing between the mid-diencephalon and the forming hindbrain; cranial NCCs migrate dorsolaterally to form the craniofacial mesenchyme that differentiates into various craniofacial cartilages and bones, cranial neurons, glia, and connective tissues of the face; these cells enter the pharyngeal pouches and arches where they give rise to thymic cells, bones of the middle ear and jaw (mandible), and the odontoblasts of the tooth primordia; like their counterparts in the trunk, cranial NCCs also contribute to the developing peripheral nervous system, along with the pigmented cell (i.e. melanocyte) lineage."
<http://purl.obolibrary.org/obo/UBERON_0003849>	"A neural crest that has_potential_to_developmentally_contribute_to a midbrain."
<http://purl.obolibrary.org/obo/NBO_0020282>	"Behaviors related to acquisition and utilization of external resources."@en
<http://purl.obolibrary.org/obo/UBERON_0010390>	"An organ cavity that is part of a urethra."
<http://purl.obolibrary.org/obo/UBERON_0012274>	"An epithelium that consists of columnar epithelial cells. Columnar epithelia are epithelial cells whose heights are at least four times their width. Columnar epithelia are divided into simple (or unilayered), and the rarer stratified (or multi-layered).[WP, modified]"
<http://purl.obolibrary.org/obo/UBERON_0005594>	"Somite located in the head region, caudal to the otic vesicle"
<http://purl.obolibrary.org/obo/CHEBI_36054>	"Esters of benzoic acid or substituted benzoic acids."
<http://purl.obolibrary.org/obo/NBO_0000229>	"\"Observable characteristic of behavior related to the awareness of body balance and movement.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/NBO_0000656>	"\"A phenotype manifested by a behavior related to the sensations arising from the skin and from the muscles, tendons, and joints.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0009749>	"The primordial embryonic connective tissue of the developing limbs, autopods and digits, consisting of mesenchymal cells supported in interlaminar jelly, that derive mostly from the mesoderm and contribute to limb connective tissue, bone and musculature in conjunction with myotome cells."
<http://purl.obolibrary.org/obo/UBERON_0003643>	"An arterial blood vessel that is part of a respiratory system [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0004111>	"Any tube, opening or passage that connects two distinct anatomical spaces."
<http://purl.obolibrary.org/obo/NBO_0000486>	"\"An extrinsic circadian rhythm sleep disorder characterized by insomnia and excessive sleepiness affecting people whose work hours are scheduled during the typical sleep period.\" [wikipedia:Shift_work_sleep_disorder]"
<http://purl.obolibrary.org/obo/UBERON_0003501>	"A blood vessel that is part of a retina [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0003496>	"A blood vessel that is part of a head [Automatically generated definition]."
<http://purl.obolibrary.org/obo/CHEBI_50846>	"Biologically active substance whose activity affects or plays a role in the functioning of the immune system."
<http://purl.obolibrary.org/obo/CHEBI_23888>	"Any substance which when absorbed into a living organism may modify one or more of its functions. The term is generally accepted for a substance taken for a therapeutic purpose, but is also commonly used for abused substances."
<http://purl.obolibrary.org/obo/CHEBI_24432>	"A role played by the molecular entity or part thereof within a biological context."
<http://purl.obolibrary.org/obo/NBO_0000131>	"\"A drinking behavior associated with the intake of alcohol.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0002342>	"A specialized region of ectoderm found between the neural ectoderm (neural plate) and non-neural ectoderm and composed of highly migratory pluripotent cells that delaminate in early embryonic development from the dorsal neural tube and give rise to an astounding variety of differentiated cell types[MP]."
<http://purl.obolibrary.org/obo/UBERON_0001155>	"Last portion of the large intestine before it becomes the rectum."
<http://purl.obolibrary.org/obo/NBO_0000391>	"\"An action or movement due to the application of a sudden unexpected stimulus.\" [wikipedia:Startle_reflex]"
<http://purl.obolibrary.org/obo/NBO_0000389>	"\"Behavior related to involuntary movement in response to a stimulus.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0010042>	"Mesenchyme that is part of a pharyngeal arch 1."
<http://purl.obolibrary.org/obo/UBERON_0003566>	"A portion of connective tissue that is part of a head [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0000982>	"Anatomical cluster that consists of two or more adjacent skeletal structures, which may be interconnected by various types of tissue[VSAO]."
<http://purl.obolibrary.org/obo/UBERON_0006603>	"Presumptive structure of the blastula that will develop into mesoderm."
<http://purl.obolibrary.org/obo/UBERON_0006761>	"the edge of the cornea where it joins the sclera; the limbus is a common site for the occurrence of corneal epithelial neoplasm"
<http://purl.obolibrary.org/obo/UBERON_0007651>	"An anatomical structure that connects two structures"
<http://purl.obolibrary.org/obo/UBERON_0000924>	"Primary germ layer that is the outer of the embryo's three germ layers and gives rise to epidermis and neural tissue."
<http://purl.obolibrary.org/obo/UBERON_0006660>	"A region of muscle in many organs in the vertebrate body, adjacent to the submucosa membrane. It is responsible for gut movement such as peristalsis."
<http://purl.obolibrary.org/obo/UBERON_0010286>	"Portion of neural tube that gives rise to the midbrain."
<http://purl.obolibrary.org/obo/NBO_0020245>	"Behaviors, anatomical structures, or signals that imitate aposematic animals, plants, or inanimate objects that are undesirable to predators of performer."@en
<http://purl.obolibrary.org/obo/UBERON_0003500>	"A blood vessel that is part of a cornea [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0010077>	"An epithelium consisting of cuboidal epithelial cells."
<http://purl.obolibrary.org/obo/UBERON_0003129>	"Anatomical structure that is part of the head consisting entirely of cranium and mandible[WP]."
<http://purl.obolibrary.org/obo/UBERON_0006217>	"The membrane that covers the embryonic cloaca, formed by the union of proctodeal (anal pit) ectoderm and cloacal endoderm, with no intervening mesoderm; the urorectal septum joins the cloacal membrane and divides it into an anal membrane and a urogenital membrane; the point where the urorectal septum intersects the cloacal membrane is the future site of the perineal body; proliferation of mesoderm and ectoderm around the cloacal membrane produces primordial tissues of the external genitalia in both sexes: the genital tubercle, genital folds, and genital swellings."
<http://purl.obolibrary.org/obo/UBERON_0009842>	"The many-lobed berry cluster of cells that is the terminous of a gland where the secretion is produced is acinar in form."
<http://purl.obolibrary.org/obo/UBERON_0001708>	"Subdivision of skeleton which includes upper and lower jaw skeletons."
<http://purl.obolibrary.org/obo/UBERON_0000083>	"A mesonephric tubule is an epithelial tube that is part of the mesonephros[GO]. Genital ridge that is next to the mesonephros[WP]."
<http://purl.obolibrary.org/obo/PATO_0000070>	"The number of entities of this type that are part of the whole organism."
<http://purl.obolibrary.org/obo/UBERON_0003887>	"The part of the coelom in the embryo between the somatopleuric and splanchnopleuric mesoderm; the principal body cavities of the trunk (thoracic, abdominal, and pelvic) arise from this embryonic part of the coelom"
<http://purl.obolibrary.org/obo/UBERON_0000163>	"endoderm-lined chamber that develops as pouch-like dilation of the caudal end of the hindgut and receives the allantois ventrally and two mesonephric ducts laterally; caudally it ends blindly at the cloacal membrane formed by the union of proctodeal (anal pit) ectoderm and cloacal endoderm, with no intervening mesoderm[MP]."
<http://purl.obolibrary.org/obo/CHEBI_28938>	"An onium cation obtained by protonation of ammonia."
<http://purl.obolibrary.org/obo/UBERON_0015061>	"A limb bone or its cartilage or pre-cartilage precursor."
<http://purl.obolibrary.org/obo/UBERON_0010363>	"A skeletal element that has the potential to participate in endochondral ossification, and may participate in intramembranous ossification."
<http://purl.obolibrary.org/obo/CHEBI_88188>	"Any drug which causes the onset of an allergic reaction."
<http://purl.obolibrary.org/obo/UBERON_0007830>	"A bone element or fused bone that is part of pelvic girdle."
<http://purl.obolibrary.org/obo/CHEBI_37527>	"An acid is a molecular entity capable of donating a hydron (Bronsted acid) or capable of forming a covalent bond with an electron pair (Lewis acid)."
<http://purl.obolibrary.org/obo/CHEBI_51086>	"A role played by the molecular entity or part thereof within a chemical context."
<http://purl.obolibrary.org/obo/CHEBI_39144>	"A molecular entity able to provide a pair of electrons and thus capable of forming a covalent bond with an electron-pair acceptor (Lewis acid), thereby producing a Lewis adduct."
<http://purl.obolibrary.org/obo/UBERON_0003077>	"The paraxial mesoderm is the mesoderm located bilaterally adjacent to the notochord and neural tube[GO]"
<http://purl.obolibrary.org/obo/BFO_0000040>	"An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time."@en
<http://purl.obolibrary.org/obo/BFO_0000015>	"An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t."@en
<http://purl.obolibrary.org/obo/NBO_0000347>	"\"The coordination of large muscle groups and whole body movement.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0001317>	"A vein that begins near the upper part of the greater sciatic foramen, passes upward behind and slightly medial to the hypogastric artery and, at the brim of the pelvis, joins with the external iliac to form the common iliac vein. [WP,unvetted]."
<http://purl.obolibrary.org/obo/UBERON_0000165>	"The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates, this extends to the pharynx and includes gums, lips, tongue and parts of the palate. Typically also includes the teeth, except where these occur elsewhere (e.g. pharyngeal jaws) or protrude from the mouth (tusks)."
<http://purl.obolibrary.org/obo/GO_0007617>	"The behavioral interactions between organisms for the purpose of mating, or sexual reproduction resulting in the formation of zygotes."
<http://purl.obolibrary.org/obo/UBERON_0001338>	"Any of the numerous small mucous-secreting glands located in the wall of the male or female urethra that help protect the epithelium from the corrosive urine"
<http://purl.obolibrary.org/obo/UBERON_0004784>	"An anatomical wall that is part of a cardiac ventricle [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0009845>	"Mesenchyme that surrounds primitive urogenital sinus."
<http://purl.obolibrary.org/obo/CHEBI_33655>	"A cyclically conjugated molecular entity with a stability (due to delocalization) significantly greater than that of a hypothetical localized structure (e.g. Kekule structure) is said to possess aromatic character."
<http://purl.obolibrary.org/obo/UBERON_0000970>	"An organ that detects light."
<http://purl.obolibrary.org/obo/UBERON_0000062>	"Anatomical structure that performs a specific function or group of functions [WP]."
<http://purl.obolibrary.org/obo/UBERON_0004695>	"A portion of smooth muscle tissue that is part of an arterial system [Automatically generated definition]."
<http://purl.obolibrary.org/obo/CHEBI_51422>	"Any organic substituent group, regardless of functional type, having two free valences at carbon atom(s)."
<http://purl.obolibrary.org/obo/UBERON_0005426>	"Portion of tissue that gives rise to the lens."
<http://purl.obolibrary.org/obo/UBERON_0003476>	"A vein that is part of a respiratory system [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0006984>	"A two dimensional anatomical structure that is the boundary between an anatomical structure and an anatomical substance, an anatomical space or the organism's environment. Examples include the surface of your skin, the surface of the lining of your gut; the surface of the endothelium of you aorta that is in contact with blood.n"
<http://purl.obolibrary.org/obo/UBERON_0002199>	"The dermis, epidermis and hypodermis."
<http://purl.obolibrary.org/obo/UBERON_0001090>	"Joint fluid is a transudate of plasma that is actively secreted by synovial cells."
<http://purl.obolibrary.org/obo/UBERON_0010377>	"Mesenchyme that develops_from a somatopleure."
<http://purl.obolibrary.org/obo/UBERON_0001081>	"Endocardium that is part of the cardiac ventricle."
<http://purl.obolibrary.org/obo/UBERON_0000063>	"A part of an organ that constitutes a distinct modular sub-unit. In some cases, the organ may also contain other sub-units of identical or similar types, in other cases this may be a distinct entity."
<http://purl.obolibrary.org/obo/UBERON_0034705>	"An embryonic or larval epithelium that is committed to form part of the nervous system."
<http://purl.obolibrary.org/obo/UBERON_0001988>	"Portion of semisolid bodily waste discharged through the anus[MW,modified]"
<http://purl.obolibrary.org/obo/CHEBI_33674>	"An s-block molecular entity is a molecular entity containing one or more atoms of an s-block element."
<http://purl.obolibrary.org/obo/UBERON_0007524>	"Mesenchyme with little extracellular matrix."
<http://purl.obolibrary.org/obo/UBERON_0003353>	"An epithelium that is part of a hindgut [Automatically generated definition]."
<http://purl.obolibrary.org/obo/CHEBI_35337>	"Any drug that enhances the activity of the central nervous system."
<http://purl.obolibrary.org/obo/UBERON_0000164>	"the ventral part of the cloaca remaining after septation of the rectum, which further develops into part of the bladder, part of the prostatic part of the male urethra and the urethra and vestibule in females"
<http://purl.obolibrary.org/obo/UBERON_0004761>	"The primitive cartilagionous skeletal structure of the fetal skull that grows to envelop the rapidly growing embyonic brain. In humans, the chondrocranium begins forming at 28 days from mesenchymal condensations and is fully formed between week 7 and 9 of fetal development. While the majority of the chondrocranium is succeeded by the bony skull in most higher vertebrates, some components do persist into adulthood.[1] In Cartilagious fishes and Agnathans, the chondrocranium persist throughout life.[2] Embryologically, the chondrocranium represent the basal cranial structure, and lay the base for the formation of the endocranium in higher vertebrates[WP]."
<http://purl.obolibrary.org/obo/CHEBI_79008>	"The conjugate acid of (R)-nicotine arising from selective protonation of the tertiary amino group; major species at pH 7.3."
<http://purl.obolibrary.org/obo/NBO_0000317>	"\"Behavior related to the awareness of body balance and movement.\" [MBP:GVG]"
<http://purl.obolibrary.org/obo/NBO_0000327>	"\"Behavior related to the sensations arising from the skin and from the muscles, tendons, and joints.\" [OBP:GVG]"
<http://purl.obolibrary.org/obo/GO_0050896>	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
<http://purl.obolibrary.org/obo/GO_0008150>	"A biological process represents a specific objective that the organism is genetically programmed to achieve. Biological processes are often described by their outcome or ending state, e.g., the biological process of cell division results in the creation of two daughter cells (a divided cell) from a single parent cell. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."
