?cls	?def
<http://purl.obolibrary.org/obo/MAXO_0000117>	"The prevention of conception or impregnation by the use of devices or drugs or surgery."
<http://purl.obolibrary.org/obo/MAXO_0000683>	"An evaluation by a specialist who specializes in intricate technical procedures to evaluate heart rhythms and determine appropriate treatment."
<http://purl.obolibrary.org/obo/MAXO_0000139>	"A postmortem examination of the body that includes an examination of the internal organs and structures after dissection to determine the cause of death and the nature of pathological changes."
<http://purl.obolibrary.org/obo/MAXO_0000430>	"A type of radiation therapy in which radioactive material is placed inside the body, into a tumor or body cavity."
<http://purl.obolibrary.org/obo/MAXO_0000014>	"Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation."
<http://purl.obolibrary.org/obo/MAXO_0000605>	"A term that refers to a chemistry test measuring a specific protein or enzyme in the peripheral blood or body fluid."
<http://purl.obolibrary.org/obo/MAXO_0000185>	"Treatment with a drug for prevention of cardiac arrhythmias. Anti-arrhythmia drugs may affect the polarisation-repolarisation phase of the action potential, its excitability or refractoriness, or impulse conduction or membrane responsiveness within cardiac fibres."
<http://purl.obolibrary.org/obo/MAXO_0000651>	"Treatment with a cardiovascular drug that prevents atherosclerosis, a disease in which the inside of an artery narrows due to the build-up of plaque."
<http://purl.obolibrary.org/obo/MAXO_0000121>	"Passive immunity refers to the process of providing IgG antibodies to protect against infection; it gives immediate, but short-lived protection."
<http://purl.obolibrary.org/obo/MAXO_0000549>	"Measuring a person's own body temperature usually at home using any of a number of types of thermometers."
<http://purl.obolibrary.org/obo/MAXO_0000488>	"An assessment of body temperature."
<http://purl.obolibrary.org/obo/MAXO_0001026>	"An agent that selectively binds to and activates beta-adrenergic receptors."
<http://purl.obolibrary.org/obo/MAXO_0000186>	"Treatment with a drug that acts on beta-adrenergic receptors."
<http://purl.obolibrary.org/obo/MAXO_0000595>	"A procedure producing an image on a radiosensitive surface by x-ray radiation that has penetrated and passed through a structure in order to diagnose or treat a patient."
<http://purl.obolibrary.org/obo/MAXO_0000517>	"The insertion of a cannula or tube into a hollow body organ."
<http://purl.obolibrary.org/obo/MAXO_0000149>	"A measure of the volume of red blood cells expressed as a percentage of the total blood volume. Normal in males is 43-49%, in females 37-43%."
<http://purl.obolibrary.org/obo/MAXO_0000563>	"Detection of interleukin-10, a cytokine identified as an inflammation suppressant."
<http://purl.obolibrary.org/obo/MAXO_0000120>	"Active immunity refers to the process of exposing the body to an antigen to generate an adaptive immune response: the response takes days/weeks to develop but may be long lasting—even lifelong."
<http://purl.obolibrary.org/obo/MAXO_0000738>	"Therapy using a highly charged polymeric agent to bind bile acids in the gastrointestinal tract and prevent their reabsorption from the gut. The bound bile acids are excreted with the feces and plasma cholesterol is converted to bile acid to reestablish normal bile acid levels, resulting in a lowering of plasma cholesterol concentrations."
<http://purl.obolibrary.org/obo/MAXO_0000189>	"Therapy using an agent that reduces plasma lipids, such as cholesterol or low density lipoproteins (LDL), acting systemically or locally (intestines) to decrease fat digestion, absorption, production, and accumulation in the plasma and reducing pathogenic atherosclerosis and thrombosis."
<http://purl.obolibrary.org/obo/MAXO_0000011>	"The treatment of deformity or disease through mechanical force and movement, including both active and passive exercises, intended to ameliorate injury, increase mobility, and improve overall function."
<http://purl.obolibrary.org/obo/MAXO_0000531>	"A test that analyzes small fragments of DNA that are circulating in a pregnant woman’s blood to determine the risk that the fetus will be born with genetic abnormalities."
<http://purl.obolibrary.org/obo/MAXO_0000706>	"An evaluation by a specialist who provides medical and/or surgical therapy or prevention of diseases, allergies, neoplasms, deformities, disorders and/or injuries of the ears, nose, sinuses, throat, respiratory and upper alimentary systems, face, jaws and the other head and neck systems."
<http://purl.obolibrary.org/obo/MAXO_0000752>	"Removal of a small amount of liquid bone marrow through a needle."
<http://purl.obolibrary.org/obo/MAXO_0000208>	"Use of a drug that inhibits sodium influx through cell membranes."
<http://purl.obolibrary.org/obo/MAXO_0000167>	"Treatment with a drug used to prevent seizures or reduce their severity."
<http://purl.obolibrary.org/obo/MAXO_0000001>	"A clinically prescribed procedure, therapy, intervention, or recommendation."
<http://purl.obolibrary.org/obo/MAXO_0000429>	"Radiation therapy in which high-energy beams are delivered to the tumor from outside of the body."
<http://purl.obolibrary.org/obo/MAXO_0000720>	"An evaluation by a specialist who performs preoperative, operative, and postoperative management of patients with disorders of the arterial, venous and lymphatic systems, excluding vessels of the brain and the heart."
<http://purl.obolibrary.org/obo/MAXO_0000715>	"Evaluation by a physician who specializes in the evaluation and treatment of mental, addictive and emotional disorders in children and adolescence."
<http://purl.obolibrary.org/obo/MAXO_0000475>	"The resection or complete surgical removal of a nerve."
<http://purl.obolibrary.org/obo/MAXO_0000451>	"A surgical procedure that places something in the human body."
<http://purl.obolibrary.org/obo/MAXO_0000618>	"A therapy of replenishing bodily fluids lost through sweating, bleeding, fluid shifts or other pathological processes, such as sepsis."
<http://purl.obolibrary.org/obo/MAXO_0000198>	"Use of an antibacterial substance with penicillin structure."
<http://purl.obolibrary.org/obo/MAXO_0000432>	"Use of an organonitrogen heterocyclic antibiotic that contains a beta-lactam ring."
<http://purl.obolibrary.org/obo/MAXO_0000267>	"Use of a drug for its effects on the gastrointestinal system, e.g. controlling gastric acidity, regulating gastrointestinal motility and water flow, and improving digestion."
<http://purl.obolibrary.org/obo/MAXO_0000166>	"Treatment with an agent that control agitated psychotic behavior, alleviate acute psychotic states, reduce psychotic symptoms, and exert a quieting effect."
<http://purl.obolibrary.org/obo/MAXO_0001023>	"Treatment with a traditional grouping of drugs said to have a soothing or calming effect on mood, thought or behavior."
<http://purl.obolibrary.org/obo/MAXO_0000501>	"Removal of an endotracheal tube from the patient."
<http://purl.obolibrary.org/obo/MAXO_0000632>	"A therapy used to treat or ameliorate peptic ulcer or irritation of the gastrointestinal tract."
<http://purl.obolibrary.org/obo/MAXO_0000714>	"Evaluation by a physician who specializes in the evaluation and treatment of mental, addictive and emotional disorders."
<http://purl.obolibrary.org/obo/MAXO_0000134>	"Endoscopy that employs the use of tissue stains to increase tissue contrast, and enhance the ability to identify various tissue dysplasia and other abnormalities."
<http://purl.obolibrary.org/obo/MAXO_0001001>	"Gene therapy involves the use of nucleic acids (DNA or RNA) for the treatment, cure or prevention of human disorders."
<http://purl.obolibrary.org/obo/MAXO_0000672>	"An evaluation by a physician who specializes in immediate decision making and action necessary to prevent death or any further disability both in the pre-hospital setting by directing emergency medical technicians and in the emergency department. This specialist provides immediate recognition, evaluation, care, stabilization and disposition of a generally diversified population of adult and pediatric patients in response to acute illness and injury."
<http://purl.obolibrary.org/obo/MAXO_0000444>	"Use of a drug that inhibits erythropoietin, a glycoprotein hormone that controls erythropoiesis (red blood cell production)."
<http://purl.obolibrary.org/obo/MAXO_0000600>	"Treatments that substitute for the blood-filtering function of the kidneys."
<http://purl.obolibrary.org/obo/MAXO_0000180>	"Use of a drug which antagonizes or impairs any mechanism leading to blood platelet aggregation, whether during the phases of activation and shape change or following the dense-granule release reaction and stimulation of the prostaglandin-thromboxane system."
<http://purl.obolibrary.org/obo/MAXO_0000221>	"Treatment with an anti-inflammatory drug that is not a steroid. In addition to anti-inflammatory actions, non-steroidal anti-inflammatory drugs have analgesic, antipyretic, and platelet-inhibitory actions. They act by blocking the synthesis of prostaglandins by inhibiting cyclooxygenase, which converts arachidonic acid to cyclic endoperoxides, precursors of prostaglandins."
<http://purl.obolibrary.org/obo/MAXO_0000088>	"Any alteration or treatment in an individual's diet with a planned goal, usually designed to improve the individual's overall health."
<http://purl.obolibrary.org/obo/MAXO_0001007>	"The determination of the number of erythrocytes in a blood sample."
<http://purl.obolibrary.org/obo/MAXO_0000576>	"Determination if patient's travel history may impact current health."
<http://purl.obolibrary.org/obo/MAXO_0000596>	"The process of taking a thorough history and physical exam to determine if a patient has been exposed to an infectious disease.  Close attention is paid to travel history, environmental exposures, and vaccination history."
<http://purl.obolibrary.org/obo/MAXO_0000323>	"Treatment with a central nervous system depressant used to induce drowsiness or sleep or to reduce psychological excitement or anxiety."
<http://purl.obolibrary.org/obo/MAXO_0001022>	"A loosely defined grouping of drugs that have effects on psychological function."
<http://purl.obolibrary.org/obo/MAXO_0000078>	"Counseling designed to guide and support an individual to overcome alcohol dependence."
<http://purl.obolibrary.org/obo/MAXO_0030010>	"The ketogenic diet is a high-fat, low-carbohydrate, adequate-protein diet that mimics a fasting state, resulting in the substitution of ketone bodies as a source of energy. The ketogenic diet can be used to reduce recurrent epileptic seizures in individuals with intractable epilepsy. Intractable epilepsy is defined as epilepsy that failed to respond to three or more antiepileptic drugs."
<http://purl.obolibrary.org/obo/MAXO_0000544>	"The determination of the amount of granulocytes present in a sample."
<http://purl.obolibrary.org/obo/MAXO_0001010>	"A test to determine the number of leukocytes in a sample of blood."
<http://purl.obolibrary.org/obo/MAXO_0000719>	"Evaluation by an expert in the diagnosis and care of patients with diseases and disorders affecting the abdomen, digestive tract, endocrine system, breast, skin and blood vessels. A general surgeon is also trained in the treatment of patients who are injured or critically ill, and in the care of pediatric and cancer patients. General surgeons are skilled in the use of minimally invasive techniques and endoscopies."
<http://purl.obolibrary.org/obo/MAXO_0001021>	"Use of a drug or therapy to treat or prevent microbial infections."
<http://purl.obolibrary.org/obo/MAXO_0000210>	"They are a group of drugs that block the normal breakdown of acetylcholine (ACh) into acetate and choline and thereby increase both the levels and duration of actions of acetylcholine found in the central and peripheral nervous system."
<http://purl.obolibrary.org/obo/MAXO_0000590>	"A type of nucleic acid amplification test in which sample DNA is exposed to a single temperature in the presence of multiple sets of primers and a polymerase with replication and high strand displacement activity. This test negates the need for thermal cyclers and may be a low cost alternative to PCR."
<http://purl.obolibrary.org/obo/MAXO_0000765>	"Intravenous nutrition administration via the central vein."
<http://purl.obolibrary.org/obo/MAXO_0000701>	"An evaluation by a specialist that uses molecular tracers (usually labeled with radioactive atoms) for diagnosis and therapy."
<http://purl.obolibrary.org/obo/MAXO_0000733>	"An assessment by a professional who works to prevent, assess, diagnose, and treat speech, language, social communication, congnitive-communication, and swallowing disorders."
<http://purl.obolibrary.org/obo/MAXO_0000450>	"A surgical procedure by which tissue or an organ (usually containing a tumor) is removed without rupture from a specific anatomic site."
<http://purl.obolibrary.org/obo/MAXO_0000283>	"Use of any agent that can alter hormone levels or modulate hormone effects."
<http://purl.obolibrary.org/obo/MAXO_0000456>	"Thermal ablation refers to the destruction of tissue by extreme hyperthermia or hypothermia."
<http://purl.obolibrary.org/obo/MAXO_0000203>	"Treatment with a broad-spectrum polyketide antibiotic produced by the Streptomyces genus of actinobacteria."
<http://purl.obolibrary.org/obo/MAXO_0000677>	"An evaluation by a physician who diagnoses and treats patients experiencing problems with acute or chronic pain, or pain related to cancer, in both hospital and outpatient settings and coordinates care needs with other specialists."
<http://purl.obolibrary.org/obo/MAXO_0000718>	"Evaluation by a specialist who uses imaging methodologies to diagnose and manage patients and provide therapeutic options."
<http://purl.obolibrary.org/obo/MAXO_0000143>	"Examination of the cells in urine."
<http://purl.obolibrary.org/obo/MAXO_0000645>	"Use of an inhibitor that interferes with the action of enzyme acetylcholinesterase, which helps breaking down of acetylcholine into choline and acetic acid"
<http://purl.obolibrary.org/obo/MAXO_0000570>	"A technique to collect sputum by inhaling hypertonic saline through an oxygen mask in order to induce sputum."
<http://purl.obolibrary.org/obo/MAXO_0000148>	"The determination of the maximum amount of oxygen that can be combined chemically with hemoglobin in a volume of blood."
<http://purl.obolibrary.org/obo/MAXO_0000691>	"An evaluation by an internist who specializes in the diagnosis and treatment of all types of cancer and other benign and malignant tumors. This specialist decides on and administers therapy for these malignancies, as well as consults with surgeons and radiotherapists on other treatments for cancer."
<http://purl.obolibrary.org/obo/MAXO_0000147>	"A lprocedure to measure hematopoietic components and investigate hematologic disorders in a blood sample."
<http://purl.obolibrary.org/obo/MAXO_0000613>	"Any of several immunoassay methods that use an enzyme covalently linked to an antigen or antibody as a label and are typically used for diagnostics or disease progression."
<http://purl.obolibrary.org/obo/MAXO_0000609>	"Testing blood serum for the presence of specifc antibody or antibodies to a specific antigen.  Often used when an infection is suspected."
<http://purl.obolibrary.org/obo/MAXO_0000193>	"Use of a drug that has principally analgesic, antipyretic and anti-inflammatory actions. Non-narcotic analgesics do not bind to opioid receptors."
<http://purl.obolibrary.org/obo/MAXO_0000159>	"A therapy capable of relieving pain without the loss of consciousness or without producing anaesthesia. In addition, analgesic is a role played by a compound which is exhibited by a capability to cause a reduction of pain symptoms."
<http://purl.obolibrary.org/obo/MAXO_0000545>	"The determination of the absolute number of basophils in a blood sample."
<http://purl.obolibrary.org/obo/MAXO_0000115>	"Any action taken for the purpose of improving or maintaining an individual's memory."
<http://purl.obolibrary.org/obo/MAXO_0000010>	"Cognitive and behavioral interventions are therapies that are designed to decrease symptoms and foster the belief that one has control over thoughts, beliefs, attitudes, and skills to facilitate coping."
<http://purl.obolibrary.org/obo/MAXO_0000161>	"Use of a substance that attaches to and blocks cell receptors."
<http://purl.obolibrary.org/obo/MAXO_0000588>	"A technique that detects a particular nucleic acid sequence in order to identify a pathogen (organism or virus) in blood, tissue, urine, or other bodily fluids."
<http://purl.obolibrary.org/obo/MAXO_0000557>	"Detection of interleukin-8 levels, a mediator of inflammatory response."
<http://purl.obolibrary.org/obo/MAXO_0000532>	"A diverse set of techniques used to identify the molecular basis of genetic disease prenatally. Examples of molecular genetic tests include: genotyping to detect specific pathogenic variants; sequencing of a gene to detect pathogenic variants; amplification or hybridization methods (e.g., qPCR, array CGH, MLPA) to detect copy number variants involving one or more genes; methylation-specific techniques to detect epigenetic changes that influence gene expression; and exome and genome sequencing."
<http://purl.obolibrary.org/obo/MAXO_0000543>	"The determination of the number of eosinophils in a blood sample."
<http://purl.obolibrary.org/obo/MAXO_0000754>	"The determination of the amount of degree, quality or condition of cells present in a sample."
<http://purl.obolibrary.org/obo/MAXO_0000537>	"A procedure conducted during pregnancy for the presence of Gardnerella vaginalis, Ureaplasma urealyticum, Mycoplasma hominis, Mobiluncus, Prevotella and anaerobic bacteria."
<http://purl.obolibrary.org/obo/MAXO_0000525>	"A clinical recommendation to avoid or refrain from certain behaviors in order to maintain health or ameliorate symptoms."
<http://purl.obolibrary.org/obo/MAXO_0001002>	"The goal of immunotherapy is to induce anti-disease (usually tumor) responses by reprogramming and augmenting immune surveillance, and reducing immune suppression."
<http://purl.obolibrary.org/obo/MAXO_0000571>	"A method of examining structures within the body by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis."
<http://purl.obolibrary.org/obo/MAXO_0000700>	"Evaluation by this specialist provides care for adult and pediatric patients in the treatment of pain or pathological processes that may modify the function or activity of the central nervous system (e.g., brain, hypophysis, and spinal cord), the peripheral nervous system (e.g., cranial, spinal, and peripheral nerves), the autonomic nervous system, the supporting structures of these systems (e.g., meninges, skull & skull base, and vertebral column), and their vascular supply (e.g., intracranial, extracranial, and spinal vasculature)."
<http://purl.obolibrary.org/obo/MAXO_0000746>	"A test to detect chromosomal breakage or aberrations (breaks, gaps, rearrangements, radials, exchanges, endoreduplications) in peripheral blood cells after culture with a T-cell mitogen and a DNA clastogenic (cross-linking) agent, such as diepoxybutane (DEB) or mitomycin C (MMC)."
<http://purl.obolibrary.org/obo/MAXO_0000248>	"Treatment with an antiviral agent that destroys or inhibits the replication of the human immunodeficiency virus."
<http://purl.obolibrary.org/obo/MAXO_0000681>	"An evaluation with a multidisciplinary health care specialist trained in the unique physical, psychological and social characteristics of adolescents, their health care problems and needs."
<http://purl.obolibrary.org/obo/MAXO_0000294>	"Use of a drug to treat hyperthyroidism by reducing the excessive production of thyroid hormones."
<http://purl.obolibrary.org/obo/MAXO_0000469>	"The process in which the nasal cavity is washed to flush out mucus and debrise from the nose and sinuses with water or saline."
<http://purl.obolibrary.org/obo/MAXO_0000262>	"Use of non-stimulant (non-amphetamine) medication for treatment of Attention Deficit Hyperactivity Disorder (ADHD)."
<http://purl.obolibrary.org/obo/MAXO_0000437>	"Use of medication for the treatment of Attention Deficit Hyperactivity Disorder (ADHD)."
<http://purl.obolibrary.org/obo/MAXO_0000242>	"Treatment with an antiviral drug used for treatment of cytomegalovirus infection."
<http://purl.obolibrary.org/obo/MAXO_0000434>	"Treatment with a pharmaceutical agent that inhibits the movement of calcium across through calcium channels in the cell membrane, preventing or decreasing the amount of calcium able to enter the cell. These drugs are used for their chronotropic, antihypertensive and vasodilatory effects."
<http://purl.obolibrary.org/obo/MAXO_0000106>	"The addition of one or more elements and/or chemical compounds that are either absent or deficient in an individual's daily diet."
<http://purl.obolibrary.org/obo/MAXO_0000230>	"An antineoplastic agent that replaces hydrogen atom(s) in nucleophilic moieties with alky radical(s), hindering proper function. Alkylating agents exhibit cytotoxic effects through the alkylation of DNA, resulting in strand cross-linking, ultimately inhibiting DNA replication and cancer cell growth."
<http://purl.obolibrary.org/obo/MAXO_0000658>	"Use of a drug that modulates the action of N-methyl-D-aspartate (NMDA) receptors."
<http://purl.obolibrary.org/obo/MAXO_0000626>	"A therapy utilizing an intravenous substance that produces loss of consciousness."
<http://purl.obolibrary.org/obo/MAXO_0001020>	"A therapy utilizing a substance that produces loss of consciousness."
<http://purl.obolibrary.org/obo/MAXO_0000128>	"Any test performed during pregnancy to assess fetal health and to detect for genetic abnormalities and various disorders."
<http://purl.obolibrary.org/obo/MAXO_0000653>	"Treatment with a class of agents that act by selectively inhibiting angiotensin II receptor activation in the renin-angiotensin-aldosterone system."
<http://purl.obolibrary.org/obo/MAXO_0000174>	"Use of a drug to prevent or treat fungal infections in humans or animals."
<http://purl.obolibrary.org/obo/MAXO_0000608>	"A quantitative measurement of the amount of phosphate present in a sample of serum."
<http://purl.obolibrary.org/obo/MAXO_0000066>	"The administration of oxygen to an individual, usually to aid in respiration."
<http://purl.obolibrary.org/obo/MAXO_0000316>	"Use of an agent that causes an increase in the expansion of a bronchus or bronchial tubes."
<http://purl.obolibrary.org/obo/MAXO_0000617>	"A non-invasive method that provides estimates of arterial oxyhemoglobin saturation by utilizing selected wavelengths of light to determine the saturation of oxyhemoglobin."
<http://purl.obolibrary.org/obo/MAXO_0000727>	"An invasive procedure in which sound waves (called ultrasound) are bounced off of vascular tissues from within the vessel and the echoes produce a picture (sonogram)."
<http://purl.obolibrary.org/obo/MAXO_0000438>	"Use of stimulant medication (usually amphetamines) for treatment of Attention Deficit Hyperactivity Disorder (ADHD)."
<http://purl.obolibrary.org/obo/MAXO_0000584>	"A quantitative measurement of the amount of an electrolyte present in urine."
<http://purl.obolibrary.org/obo/MAXO_0000759>	"Vaccination against human papillomavirus infection."
<http://purl.obolibrary.org/obo/MAXO_0001017>	"Inoculating an individual with either killed or live agents to prevent contraction of a disease."
<http://purl.obolibrary.org/obo/MAXO_0000138>	"Ultrasound imaging following the administration of a microbubble contrast agent."
<http://purl.obolibrary.org/obo/MAXO_0000506>	"Techniques for administering artificial respiration without the need for intratracheal intubation."
<http://purl.obolibrary.org/obo/MAXO_0000086>	"An alternative medical system that focuses on the relationship between bodily structure (primarily that of the spine) and function, and how that relationship affects the preservation and restoration of health. Chiropractors use manipulative therapy as an integral treatment tool."
<http://purl.obolibrary.org/obo/MAXO_0000552>	"Detection of circultating interleukin-6, which stimulates the inflammatory and auto-immune processes in many diseases."
<http://purl.obolibrary.org/obo/MAXO_0000072>	"The use of ultrasound to produce images of structures in the human body."
<http://purl.obolibrary.org/obo/MAXO_0000229>	"Use of a substance that suppresses Mycobacterium leprae, ameliorates the clinical manifestations of leprosy, and/or reduces the incidence and severity of leprous reactions."
<http://purl.obolibrary.org/obo/MAXO_0000520>	"Use of medical ultrasonography in pregnancy where sound waves are used to create a real-time visual image of the developing fetus in the uterus. Imaging can include the mother's ovaries and uterus as well."
<http://purl.obolibrary.org/obo/MAXO_0000274>	"Use of a drug to treat conditions of the reproductive organs and excretory system or urinary tract."
<http://purl.obolibrary.org/obo/MAXO_0000022>	"A service delivery system that provides palliative care/medicine when life expectancy is 6 months or less and when curative or life-prolonging therapy is no longer indicated."
<http://purl.obolibrary.org/obo/MAXO_0000741>	"Treatment with a diuretic agent that produces diuresis without increasing potassium excretion."
<http://purl.obolibrary.org/obo/MAXO_0000165>	"Therapy using an agent that promotes the excretion of urine through its effects on kidney function"
<http://purl.obolibrary.org/obo/MAXO_0000496>	"A blood pressure measurement using a sphygmomanometer and an electronic pressure sensor (transducer) that detects blood flow by the presence of oscillations in the cuff pressure."
<http://purl.obolibrary.org/obo/MAXO_0000497>	"A method for monitoring blood pressure without requiring instruments introduced into the body."
<http://purl.obolibrary.org/obo/MAXO_0000243>	"Treatment with a drug which can have different modes of action but which tend to be less likely than first generation antipsychotics to cause extrapyramidal motor control disabilities such as body rigidity or Parkinson's disease-type movements."
<http://purl.obolibrary.org/obo/c>	"The quantitative measurement of liver enzymes in the blood, which is useful in assessing the functional state of a patient's liver. Liver function tests include the measurement of albumin, alanine transaminase, aspartate transaminase, alkaline phosphatase, bilirubin, and gamma glutamyl transferase."
<http://purl.obolibrary.org/obo/MAXO_0000171>	"Treatment with medications to improve cognition and function for patients with dementia."
<http://purl.obolibrary.org/obo/MAXO_0000639>	"Treatment with an antiviral agent that destroys or inhibits the replication of the herpes simplex virus-2."
<http://purl.obolibrary.org/obo/MAXO_0000685>	"An evaluation with an internist who specializes in the diagnosis and management of disorders of hormones and their actions, metabolic disorders, and neoplasia of the endocrine glands. This specialist cares for patients with diabetes mellitus, thyroid disorders, disorders of calcium and bone, hyperlipidemia, obesity and nutritional disorders, pituitary disorders, reproductive and gonadal disorders, adrenal diseases, and endocrine hypertension."
<http://purl.obolibrary.org/obo/MAXO_0000607>	"A quantification of a fibrin degradation product in blood used in the diagnosis of thrombosis."
<http://purl.obolibrary.org/obo/MAXO_0000190>	"Treatment with Renin-angiotensin-aldosterone system (RAAS) inhibitors, a group of drugs that act by inhibiting the renin-angiotensin-aldosterone system and include angiotensin-converting enzyme (ACE) inhibitors, angiotensin-receptor blockers (ARBs), and direct renin inhibitors"
<http://purl.obolibrary.org/obo/MAXO_0000621>	"A thin catheter inserted into an artery to monitor blood pressure directly and obtain blood samples."
<http://purl.obolibrary.org/obo/MAXO_0000473>	"The implantation of a piece of mechanical or electronic equipment that is useful for prevention, diagnosis, monitoring, or treatment of disease or other conditions."
<http://purl.obolibrary.org/obo/MAXO_0000478>	"Evaluation with a surgeon who focuses on the preservation, investigation and restoration of the form and function of the extremities, spine and associated structures by medical, surgical and physical means. This specialist is involved with the care of patients whose musculoskeletal problems include congenital deformities, trauma, infections, tumors, metabolic disturbances of the musculoskeletal system, deformities, injuries and degenerative diseases of the spine, hands, feet, knee, hip, shoulder and elbow in children and adults. An orthopaedic surgeon is also concerned with primary and secondary muscular problems and the effects of central or peripheral nervous system lesions of the musculoskeletal system."
<http://purl.obolibrary.org/obo/MAXO_0000597>	"The administration of oxygen to an individual, usually to aid in respiration by means of a mask."
<http://purl.obolibrary.org/obo/MAXO_0000489>	"The act of assessing an individual's current temperature, heart rate, respiratory rate, pulse oxygenation, and blood pressure."
<http://purl.obolibrary.org/obo/MAXO_0000565>	"Detection of serum levels of amyloid A (SAA) in response to inflammation."
<http://purl.obolibrary.org/obo/MAXO_0000511>	"A form of non-invasive mechanical pressure support ventilation that uses a time-cycled change of the applied positive airway pressure level to support spontaneous breathing activity."
<http://purl.obolibrary.org/obo/MAXO_0000533>	"A diverse set of techniques used to identify the molecular basis of genetic disease. Examples of molecular genetic tests include: genotyping to detect specific pathogenic variants; sequencing of a gene to detect pathogenic variants; amplification or hybridization methods (e.g., qPCR, array CGH, MLPA) to detect copy number variants involving one or more genes; methylation-specific techniques to detect epigenetic changes that influence gene expression; and exome and genome sequencing."
<http://purl.obolibrary.org/obo/MAXO_0000127>	"The process of isolating and testing the DNA of an embryo or a person to detect the presence of genetic alterations or defects that may predispose to the future development of a disease or disorder."
<http://purl.obolibrary.org/obo/MAXO_0000146>	"A procedure to determine the number of cells in a clinical sample."
<http://purl.obolibrary.org/obo/MAXO_0000518>	"The removal of a previously inserted tube from a hollow organ or passageway, often from the airway."
<http://purl.obolibrary.org/obo/MAXO_0000081>	"A process by which a health professional provides education, recommendations, or interventions to help clients stop using tobacco products."
<http://purl.obolibrary.org/obo/MAXO_0000256>	"Treatment with used to treat bipolar disorders or mania associated with other affective disorders."
<http://purl.obolibrary.org/obo/MAXO_0000722>	"An evaluation by a specialist that focuses on diagnosing and treating disorders of the urinary tracts of males and females, and on the reproductive system of males. This specialist manages non-surgical problems such as urinary tract infections and benign prostatic hyperplasia, as well as surgical problems such as the surgical management of cancers, the correction of congenital abnormalities, and correcting stress incontinence."
<http://purl.obolibrary.org/obo/MAXO_0000224>	"Use of medication to decrease the occurrence of migraine headaches."
<http://purl.obolibrary.org/obo/MAXO_0000646>	"Treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. Chemotherapy may be given by mouth, injection, or infusion, or on the skin, depending on the type and stage of the cancer being treated. It may be given alone or with other treatments, such as surgery, radiation therapy, or biologic therapy."
<http://purl.obolibrary.org/obo/MAXO_0000698>	"An evaluation with a specialist who provides comprehensive diagnostic, management, therapeutic, and counseling services for individuals and families at risk for clinical disorders with a genetic basis. The specialist is trained to evaluate individuals of all ages for hereditary conditions."
<http://purl.obolibrary.org/obo/MAXO_0000445>	"A drug that prevents fibrinolysis or lysis of a blood clot or thrombus."
<http://purl.obolibrary.org/obo/MAXO_0000491>	"Assessment and recording of arterial pulses in any of a number of locations. The observer should note its intensity, rate, rhythm, and if any blood vessel tenderness, tortuosity, or nodularity exists."
<http://purl.obolibrary.org/obo/MAXO_0000666>	"An evaluation by an allergist-immunologist who diagnoses and manages disorders involving immune system conditions such as asthma, anaphylaxis, rhinitis and eczema as well as adverse reactions to drugs, foods and insect stings. An allergist-immunologist also manages immune deficiency diseases and problems related to autoimmune disease, organ transplantation or malignancies of the immune system."
<http://purl.obolibrary.org/obo/MAXO_0030018>	"Supplementation of uncooked cornstarch intended to prevent hepatomegaly and hypoglycemia, typically for individuals with irregular hepatic glycogen storage. Supplementation can include both regular cornstarch and extended release cornstarch."
<http://purl.obolibrary.org/obo/MAXO_0000136>	"A low-cost, high-resolution imaging tool consisting of a 1-mm diameter fiber-optic bundle that produces subcellular imaging at 1,000x magnification and 4 micrometer resolution, allowing for minimally invasive bioimaging."
<http://purl.obolibrary.org/obo/MAXO_0000602>	"A therapeutic procedure used in patients with kidney failure. It involves the extracorporeal removal of harmful wastes and fluids from the blood using a dialysis machine. Following the dialysis, the blood is returned to the body."
<http://purl.obolibrary.org/obo/MAXO_0000601>	"A procedure to remove toxic substances from the blood that is used in patients with end-stage chronic kidney disease or acute kidney failure. This includes hemodialysis and peritoneal dialysis."
<http://purl.obolibrary.org/obo/MAXO_0000197>	"Use of a class of beta-lactam antibiotics differing from the penicillins in having a 6-membered, rather than a 5-membered, side ring."
<http://purl.obolibrary.org/obo/MAXO_0000182>	"Treatment with a drug that acts on an alpha-adrenergic receptor."
<http://purl.obolibrary.org/obo/MAXO_0001025>	"Therapy using any agent that acts on an adrenergic receptor or affects adrenergic signal transduction."
<http://purl.obolibrary.org/obo/MAXO_0000578>	"Determination if the patient may have been exposed to something which would impact the health of the patient."
<http://purl.obolibrary.org/obo/MAXO_0000707>	"An evaluation by a specialist concerned with the physical, emotional, and social health of children from birth to young adulthood."
<http://purl.obolibrary.org/obo/MAXO_0000546>	"The determination of the number of lymphocytes in a blood sample."
<http://purl.obolibrary.org/obo/MAXO_0000592>	"A technique that detects a particular RNA sequence in order to identify a pathogen (organism or virus) in blood, tissue, urine, or other bodily fluids."
<http://purl.obolibrary.org/obo/MAXO_0000068>	"Transference of a tissue or organ within an individual, between individuals of the same species, or between individuals of different species."
