?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/MAXO_0000255>	"Treatment with an antidepressant that can be used to treat anxiety."	
<http://purl.obolibrary.org/obo/CHEBI_33234>	"Any member of a group of fat-soluble chromanols  that exhibit biological activity against vitamin E deficiency. The vitamers in this class consists of a chroman-6-ol core which is substituted at position 2 by a methyl group and (also at position 2) either a saturated or a triply-unsaturated hydrocarbon chain consisting of three isoprenoid units. The major function of vitamin E is to act as a natural antioxidant by scavenging free radicals and molecular oxygen."	"Wikipedia:Vitamin_E MetaCyc:Vitamin-E"
<http://purl.obolibrary.org/obo/UBERON_0007010>	"Organism at the cleavage stage."	"BILA:0000058"
<http://purl.obolibrary.org/obo/UBERON_0004016>	"A transitional population of migrating mesenchymal cells that derive from somites and that will become dermal cells."	"AEO:0001017 EHDAA:1719 AAO:0011028 EHDAA:1731 EHDAA:1737 EHDAA:1725 NCIT:C61572 XAO:0000220 EMAPA:32838 FMA:295656 Wikipedia:Dermatome_(embryology) EHDAA2_RETIRED:0003428"
<http://purl.obolibrary.org/obo/CHEBI_32859>		
<http://purl.obolibrary.org/obo/MAXO_0010107>	"A medical requirement or recommendation of avoiding the consumption of sterol."	
<http://purl.obolibrary.org/obo/CHEBI_16958>	"A naturally-occurring beta-amino acid comprising propionic acid with the amino group in the 3-position."	"KEGG:D07561 PDBeChem:BAL KEGG:C00099 KNApSAcK:C00001333 MetaCyc:B-ALANINE HMDB:HMDB0000056 DrugBank:DB03107 Wikipedia:Beta-Alanine"
<http://purl.obolibrary.org/obo/UBERON_0001728>	"The section of the pharynx that lies above the soft palate."	"Wikipedia:Nasopharynx NCIT:C12423 EMAPA:17670 MAT:0000447 MA:0000443 EHDAA:7086 EV:0100066 VHOG:0000375 EHDAA2:0001239 CALOHA:TS-0663 BTO:0000662 GAID:339 SCTID:181200003 MESH:D009305 FMA:54878"
<http://purl.obolibrary.org/obo/CHEBI_32184>	"The ethyl ester of tazarotenic acid. A prodrug for tazarotenic acid, it is used for the treatment of  psoriasis, acne, and sun-damaged skin."	"DrugBank:DB00799 Patent:EP284288 KEGG:C12531 KEGG:D01132 Patent:US5089509 Wikipedia:Tazarotene HMDB:HMDB0014937"
<http://purl.obolibrary.org/obo/CHEBI_25274>		
<http://purl.obolibrary.org/obo/MAXO_0000089>	"The restriction of energy (calorie) intake below the amount required for weight maintenance."	
<http://purl.obolibrary.org/obo/GO_0043603>	"The chemical reactions and pathways involving an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group, as carried out by individual cells."	
<http://purl.obolibrary.org/obo/MAXO_0000555>	"Detection of interleukin-1 alpha, a mediator of the inflammatory response."	
<http://purl.obolibrary.org/obo/UBERON_0012292>	"One of the pair of mesenchymal swellings (folds) located on either side of the cloacal membrane during the indifferent stage of embryonic development; cranial to the cloacal membrane the folds unite to form the genital tubercle; caudally the folds are subdivided into urogenital folds anteriorly and anal folds posteriorly."	"EHDAA2:0004009"
<http://purl.obolibrary.org/obo/FOODON_03412974>	"A chemical food component in liquid form."@en	"http://www.langual.org/langual_thesaurus.asp?termid=B2974"
<http://purl.obolibrary.org/obo/MAXO_0009096>	"Use of a drug that inhibits Janus kinases."	
<http://purl.obolibrary.org/obo/OBI_0600005>	"a process with the objective to obtain a material entity that was part of an organism for potential future use in an investigation"@en	
<http://purl.obolibrary.org/obo/MAXO_0001571>	"A MIGS where flexible micro shunt composed of polystyrene block isobutylene block styrene inserted ab externally ino the anterior chamber through subconjunctival space forming a bleb."	
<http://purl.obolibrary.org/obo/UBERON_0001817>	"The lacrimal glands are paired almond-shaped glands, located in or near the orbital region, that secrete the aqueous layer of the tear film.[WP]."	"Wikipedia:Lacrimal_gland CALOHA:TS-0512 EMAPA:35463 SCTID:181147003 MA:0001296 BTO:0000044 Wikipedia:Preorbital_gland EFO:0001389 EV:0100339 FMA:59101 VHOG:0001476 NCIT:C12346"
<http://purl.obolibrary.org/obo/CL_0000207>	"Any neuron that is capable of some detection of chemical stimulus involved in sensory perception of smell."	"BTO:0004185 FMA:67860 MESH:D018034 Wikipedia:Olfactory_receptor_neuron"
<http://purl.obolibrary.org/obo/CHEBI_50176>	"A drug that softens, separates, and causes desquamation of the cornified epithelium or horny layer of skin. Keratolytic drugs are used to expose mycelia of infecting fungi or to treat corns, warts, and certain other skin diseases."	
<http://purl.obolibrary.org/obo/CL_0000188>	"A somatic cell located in skeletal muscle."	"FMA:9727 CALOHA:TS-2158 BTO:0004392"
<http://purl.obolibrary.org/obo/CHEBI_76823>	"An EC 6.3.* (C-N bond-forming ligase) inhibitor that interferes with the action of any acid-ammonia (or amine) ligase (EC 6.3.1.*)."	
<http://purl.obolibrary.org/obo/MAXO_0000681>	"An assessment with a multidisciplinary health care specialist trained in the unique physical, psychological and social characteristics of adolescents, their health care problems and needs."	
<http://purl.obolibrary.org/obo/GO_0010970>	"The movement of organelles or other particles from one location in the cell to another along microtubules, driven by motor activity."	
<http://purl.obolibrary.org/obo/UBERON_0003296>	"Any gland that is part of the diencephalon. Examples: pineal gland, neurohypophysis."	"EHDAA2:0000395 VHOG:0000653 EMAPA:16897"
<http://purl.obolibrary.org/obo/UBERON_0000203>	"Dorsal part (roof region) of the telencephalon[GO]."	"DMBA:15903 TAO:0007007 neuronames:3240 Wikipedia:Avian_pallium Wikipedia:Pallium_(neuroanatomy) TAO:0000505 BTO:0003399 SCTID:369224000 ZFA:0000505 EFO:0003534"
<http://purl.obolibrary.org/obo/GO_0030054>	"A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."	"Wikipedia:Cell_junction"
<http://purl.obolibrary.org/obo/UBERON_0004876>	"One of of the pair of folds derived from the cloacal folds which give rise to a portion of the external genitalia; in male embryos they close over the urethral plate and fuse to form the spongy (penile) urethra and ventral aspect of the penis, not including the glans; failure of fusion of the urethral folds leads to hypospadias; in female embryos they fuse only anterior to the anus and form the labia minora[MP]."	"Wikipedia:Urogenital_folds EMAPA:30888 FMA:321919 EHDAA2:0004022"
<http://purl.obolibrary.org/obo/MAXO_0001170>	"The use of ultrasound to produce images of structures in the venous blood vessel."	
<http://purl.obolibrary.org/obo/MAXO_0000495>	"Monitoring blood pressure with a sphygmomanometer and a stethoscope to hear blood flow."	"VSO:0000001 MMO:0000055 NCIT:C69318 PMID:20937442"
<http://purl.obolibrary.org/obo/NBO_0045000>	"Any habitual use of the tobacco plant leaf and its products."	
<http://purl.obolibrary.org/obo/CL_0008019>	"A non-polarised cell precursor cell that is part of some mesenchyme, is associated with the cell matrix but is not connected to other cells and is capable of migration."	
<http://purl.obolibrary.org/obo/FOODON_00001083>		
<http://purl.obolibrary.org/obo/CHEBI_38323>	"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."	
<http://purl.obolibrary.org/obo/MAXO_0000672>	"An assessment by a physician who specializes in immediate decision making and action necessary to prevent death or any further disability both in the pre-hospital setting by directing emergency medical technicians and in the emergency department. This specialist provides immediate recognition, evaluation, care, stabilization and disposition of a generally diversified population of adult and pediatric patients in response to acute illness and injury."	
<http://purl.obolibrary.org/obo/FOODON_00001635>	"A bean vegetable food product is a human or animal food product - such as a snap, shell or dry bean product - derived from the fruit pod, seed, or leaf of one of several genera of the flowering plant family Fabaceae."@en	
<http://purl.obolibrary.org/obo/MAXO_0000538>	"A test for the presence of fetal fibronectin in the cervico-vaginal area that is used to predict preterm birth."	"NCIT:C92786"
<http://purl.obolibrary.org/obo/CHEBI_27780>	"A surfactant (or a mixture containing one or more surfactants) having cleaning properties in dilute solutions."	"KEGG:C01689"
<http://purl.obolibrary.org/obo/CL_0002166>	"An epithelial cell that remains from the disintegration of the epithelial root sheath involved in the development of teeth."	"FMA:62987"
<http://purl.obolibrary.org/obo/CHEBI_60164>	"An ionic polymer is a polymer, composed of ionic macromolecules."	
<http://purl.obolibrary.org/obo/MAXO_0000172>	"A grouping of agents that are used as antidotes, deterrents, or to counteract the effects of a toxic agents on the body."	
<http://purl.obolibrary.org/obo/MAXO_0000121>	"Passive immunity refers to the process of providing IgG antibodies to protect against infection; it gives immediate, but short-lived protection."	"VO:0000492 OBI:0001174 NCIT:C15259"
<http://purl.obolibrary.org/obo/UBERON_0000007>	"The pituitary gland is an endocrine gland that secretes hormones that regulate many other glands [GO]. An endocrine gland located ventral to the diencephalon and derived from mixed neuroectodermal and non neuroectodermal origin [ZFIN]."	"ZFA:0000118 EHDAA2:0001471 Wikipedia:Pituitary_gland EV:0100132 XAO:0000017 GAID:457 EHDAA:2183 NCIT:C12399 AAO:0010536 EFO:0000857 BAMS:PIT TAO:0000118 MAT:0000077 MESH:D010902 VHOG:0000143 BTO:0001073 BAMS:Pit BIRNLEX:1353 CALOHA:TS-0798 MIAA:0000077 FMA:13889 EMAPA:35998 MA:0000176 BM:Die-Hy-HY EHDAA:4477 DHBA:10505 SCTID:181125003 HBA:4634"
<http://purl.obolibrary.org/obo/NCBITaxon_1437183>		"PMID:25249442 GC_ID:1"
<http://purl.obolibrary.org/obo/GO_0071971>	"The aggregation, arrangement and bonding together of a set of components to form an extracellular vesicular exosome, a membrane-bounded vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Exosomes are defined by their size, which generally ranges from 30 nm to 100 nm."	
<http://purl.obolibrary.org/obo/CHEBI_26979>	"An organic tricyclic compound in which at least one of the rings of the tricyclic skeleton contains one or more heteroatoms."	
<http://purl.obolibrary.org/obo/UBERON_0003677>	"The part of a tooth that is implanted in the gum; the root is normally located below the neck of the tooth, covered by cementum rather than enamel, and attached by the periodontal ligament to the alveolar bone."	"GAID:1280 FMA:55624 SCTID:245728004 MESH:D014092"
<http://purl.obolibrary.org/obo/HP_0100628>	"The presence of a diverticulum of the esophagus."	"UMLS:C0014854 SNOMEDCT_US:204667006 SNOMEDCT_US:414133009"
<http://purl.obolibrary.org/obo/CL_0002672>	"A multi-fate stem cell that can give rise to different retinal cell types including rod and cone cells."	
<http://purl.obolibrary.org/obo/MAXO_0000370>	"Removal and examination of tissue, cells, or fluids from the jaw bone for the purpose of detecting or characterizing disease."	
<http://purl.obolibrary.org/obo/GO_0002376>	"Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."	"Wikipedia:Immune_system"
<http://purl.obolibrary.org/obo/CHEBI_33708>	"When two or more amino acids combine to form a peptide, the elements of water are removed, and what remains of each amino acid is called an amino-acid residue."	
<http://purl.obolibrary.org/obo/CL_0017504>	"Cytoplasm that exhibits affinity for both basic and acid stains under specific pH conditions."	
<http://purl.obolibrary.org/obo/CL_0000980>	"An activated mature (naive or memory) B cell that is secreting immunoglobulin, typified by being CD27-positive, CD38-positive, CD138-negative."	"FMA:84371"
<http://purl.obolibrary.org/obo/FOODON_00003595>	"A chicken egg in its shell."@en	
<http://purl.obolibrary.org/obo/GO_1901568>	"The chemical reactions and pathways involving fatty acid derivative."	
<http://purl.obolibrary.org/obo/MAXO_0000388>	"Removal and examination of tissue, cells, or fluids from nasolacrimal duct for the purpose of detecting or characterizing disease."	
<http://purl.obolibrary.org/obo/CHEBI_15693>	"Aldehydic parent sugars (polyhydroxy aldehydes H[CH(OH)]nC(=O)H, n >= 2) and their intramolecular hemiacetals."	"Wikipedia:Aldose KEGG:C01370"
<http://purl.obolibrary.org/obo/UBERON_0007771>	"A gland that is part of a epidermis."	"FMA:59153"
<http://purl.obolibrary.org/obo/UBERON_0003716>	"A branch of the vagus nerve that supplies motor function and sensation to the larynx (voice box). It travels within the endoneurium. It is the nerve of the 6th Branchial Arch."	"MESH:D012009 FMA:6246 Wikipedia:Recurrent_laryngeal_nerve SCTID:24227007 GAID:804 AAO:0010754 VHOG:0001347"
<http://purl.obolibrary.org/obo/HP_0000924>	"An abnormality of the skeletal system."	"UMLS:C4021790"
<http://purl.obolibrary.org/obo/MAXO_0000445>	"A drug that prevents fibrinolysis or lysis of a blood clot or thrombus."	"CHEBI:48675"
<http://purl.obolibrary.org/obo/UBERON_0001678>	"The large, irregular bone located at the base and side of the skull; consists of three parts at birth: squamous, tympanic, and petrous."	"FMA:52737 EHDAA:6035 NCIT:C12797 VHOG:0000800 SCTID:181795004 Wikipedia:Temporal_bone EMAPA:17682 MA:0001476 MESH:D013701 GAID:232"
<http://purl.obolibrary.org/obo/CHEBI_90710>	"A drug that acts as an antagonist, agonist, reverse agonist, or in some other fashion when interacting with cellular receptors."	"Wikipedia:Receptor_modulator"
<http://purl.obolibrary.org/obo/CHEBI_26666>	"An aliphatic monocarboxylic acid with a chain length of less than C6. If any non-hydrocarbon substituent is present, the compound is not normally regarded as a short-chain fatty acid."	
<http://purl.obolibrary.org/obo/FOODON_00001256>	"A dairy food product has mammilian milk or a milk component as an ingredient."@en	"http://www.langual.org/langual_thesaurus.asp?termid=H0242"
<http://purl.obolibrary.org/obo/MAXO_0000288>	"Treatment with an agent to modify progestin action."	
<http://purl.obolibrary.org/obo/CL_0002573>	"A glial cell that myelinates or ensheathes axons in the peripheral nervous system."	"BTO:0001220 CALOHA:TS-0898 MESH:D012583"
<http://purl.obolibrary.org/obo/CHEBI_39141>	"A molecular entity capable of donating a hydron to an acceptor (Bronsted base)."	
<http://purl.obolibrary.org/obo/NCBITaxon_8492>		"GC_ID:1"
<http://purl.obolibrary.org/obo/PR_000001343>	"A protein that is a translation product of the human CD69 gene or a 1:1 ortholog thereof. A type II transmembrane protein with a C-type lectin binding domain in the extracellular portion of the molecule. Involved in lymphocyte proliferation and functions as a signal transmitting receptor in lymphocytes, natural killer (NK) cells, and platelets."	
<http://purl.obolibrary.org/obo/GO_0060005>	"A reflex process in which a response to an angular or linear acceleration stimulus begins with an afferent nerve impulse from a receptor in the inner ear and ends with the compensatory action of eye muscles. Signaling never reaches a level of consciousness."	
<http://purl.obolibrary.org/obo/UBERON_0001279>	"A multi-organ-part structure that consists of three vessels of the portal lobule including the bile duct, a terminal branch of the hepatic artery and portal vein, and may also include a lymphatic vessel."	"Wikipedia:Portal_triad MA:0002499 NCIT:C33342 FMA:17523 SCTID:362192000"
<http://purl.obolibrary.org/obo/CHEBI_51065>	"A drug that binds to and activates dopamine receptors."	
<http://purl.obolibrary.org/obo/MAXO_0035043>	"Use of an imaging test that uses small amounts of radiation to produce pictures of forelimb."	
<http://purl.obolibrary.org/obo/UBERON_0000113>	"The stage of being a sexually mature adult animal."	"OGES:000027 XAO:1000093 BILS:0000113 ZFS:0000044 OGES:000026 EV:0300064 MmusDv:0000110 EV:0300070 MIAA:0000403"
<http://purl.obolibrary.org/obo/CL_0000151>	"A cell that specializes in controlled release of one or more substances."	"FMA:86916 BTO:0003659"
<http://purl.obolibrary.org/obo/MAXO_0001278>	"A surgery that fixes or mends cardiac valve."	
<http://purl.obolibrary.org/obo/GO_0046323>	"The directed movement of the hexose monosaccharide glucose into a cell or organelle."	"Wikipedia:Glucose_uptake"
<http://purl.obolibrary.org/obo/PR_P02768>	"An albumin that is encoded in the genome of human."	"UniProtKB:P02768"
<http://purl.obolibrary.org/obo/UBERON_0002419>	"A gland that is part of a skin of body [Automatically generated definition]."	"SCTID:110485007 EMAPA:35774 MA:0000146 FMA:71878"
<http://purl.obolibrary.org/obo/CHEBI_26878>	"A tertiary alcohol is a compound in which a hydroxy group, -OH, is attached to a saturated carbon atom which has three other carbon atoms attached to it."	
<http://purl.obolibrary.org/obo/FOODON_00001264>	"A one-celled fruit (pod) usually dehiscing down both sutures, and having the seed attached along a ventral suture. (Roubik 1995)"	
<http://purl.obolibrary.org/obo/MAXO_0001467>	"Procedure to evaluate the structure and/or function of the organ."	
<http://purl.obolibrary.org/obo/UBERON_0000056>	"Muscular duct that propels urine from the kidneys to the urinary bladder, or related organs."	"BTO:0001409 EFO:0000930 NCIT:C12416 EHDAA2:0002139 XAO:0000144 MESH:D014513 EMAPA:17950 MAT:0000120 MA:0000378 SCTID:302511008 FMA:9704 CALOHA:TS-1084 GAID:438 EHDAA:9341 AAO:0010254 Wikipedia:Ureter VHOG:0000605 galen:Ureter MIAA:0000120 EV:0100097"
<http://purl.obolibrary.org/obo/PR_000027222>	"A protein that is a translation product of the human CALCA gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/UBERON_0005358>	"A layer in the central nervous system that lines system of communicating cavities in the brain and spinal cord."	"FMA:242770 EMAPA:35209"
<http://purl.obolibrary.org/obo/PR_000003809>	"A protein that is a translation product of the human AFP gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/FOODON_03430150>		"http://www.langual.org/langual_thesaurus.asp?termid=E0150"
<http://purl.obolibrary.org/obo/CL_0002028>	"A cell type that can give rise to basophil and mast cells. This cell is CD34-positive, CD117-positive, CD125-positive, FceRIa-negative, and T1/ST2-negative, and expresses Gata-1, Gata-2, C/EBPa"	
<http://purl.obolibrary.org/obo/UBERON_0007123>	"A pharyngeal puch that is between the pharyngeal arches 2 and 3."	"EHDAA2:0000058 VHOG:0000967 RETIRED_EHDAA2:0000060 SCTID:345349000 EMAPA:16275 AAO:0011115 XAO:0000247 ZFA:0001130 TAO:0001130 EFO:0003633 FMA:295676 Wikipedia:Pharyngeal_pouch_(embryology)#Second_pouch NCIT:C34289 VHOG:0000561"
<http://purl.obolibrary.org/obo/FOODON_03400118>	"A substance having greater than 2% of the caloric value of sucrose per equivalent unit of sweetening capacity. For example, the amount of such subtance having the sweetening capacity of 1 teaspoon of sucrose would have more than 0.4 calories (21 CFR 170.3(o)(21))."@en	"http://www.langual.org/langual_thesaurus.asp?termid=A0118"
<http://purl.obolibrary.org/obo/CHEBI_16389>	"Any benzoquinone derived from 2,3-dimethoxy-5-methylbenzoquinone; one of a group of naturally occurring homologues. The redox-active quinoid moiety usually carries a polyprenoid side chain at position 6, the number of isoprenoid units in which is species-specific. Ubiquinones are involved in the control of mitochondrial electron transport, and are also potent anti-oxidants."	"KEGG:C00399"
<http://purl.obolibrary.org/obo/UBERON_0001977>	"The portion of blood plasma that excludes clotting factors."	"EMAPA:35770 FMA:63083 Wikipedia:Serum_(blood) BTO:0000133 CALOHA:TS-0923 MA:0002502 EHDAA2:0004728 BTO:0001239 NCIT:C13325"
<http://purl.obolibrary.org/obo/UBERON_0005619>	"The outgrowths of the embryonic maxillary prominences that come together during prenatal development to form the secondary palate."	"EHDAA2:0001364 VHOG:0000378 MA:0001581 FMA:295948 EMAPA:17362 EHDAA:9283"
<http://purl.obolibrary.org/obo/MAXO_0001053>	"The surgical removal (cutting out) of part or all of stomach."	
<http://purl.obolibrary.org/obo/GO_2000243>	"Any process that activates or increases the frequency, rate or extent of reproductive process."	
<http://purl.obolibrary.org/obo/CL_0000039>	"A cell that is within the developmental lineage of gametes and is able to pass along its genetic material to offspring."	
<http://purl.obolibrary.org/obo/MAXO_0000748>	"The transplantation of fecal bacteria, via enema, colonoscopy, or other method, from a healthy individual to a recipient."	
<http://purl.obolibrary.org/obo/HP_0010304>	"An outpouching of the spinal meninges."	"UMLS:C4023913"
<http://purl.obolibrary.org/obo/UBERON_0006868>	"A gland that secretes a seminal fluid."	"WBbt:0006870"
<http://purl.obolibrary.org/obo/GO_0002683>	"Any process that stops, prevents, or reduces the frequency, rate, or extent of an immune system process."	
<http://purl.obolibrary.org/obo/MAXO_0009050>	"Surgical procedure that involves removal of the entire globe and its intraocular contents, with preservation of all other periorbital and orbital structures."	
<http://purl.obolibrary.org/obo/CL_0000293>	"A cell whose primary function is to provide structural support, to provide strength and physical integrity to the organism."	
<http://purl.obolibrary.org/obo/MAXO_0000731>	"A procedure where a allied health care provider who was not previously involved in a patient's treatment, reviews a patient's medical history, examines the patient, and makes recommendations as to care and treatment. This is care provided by health care practitioners who are distinct providers from dentistry, nursing, medicine, and pharmacy health care professionals."	
<http://purl.obolibrary.org/obo/MAXO_0000294>	"Use of a drug to treat hyperthyroidism by reducing the excessive production of thyroid hormones."	"CHEBI:50671"
<http://purl.obolibrary.org/obo/MAXO_0000231>	"Use of an agent or endogenous substance that inhibits the formation of capillaries from existing blood vessels."	"CHEBI:48422 NCIT:C1742"
<http://purl.obolibrary.org/obo/GO_0044085>	"A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."	
<http://purl.obolibrary.org/obo/MAXO_0010040>	"The surgical transfer of a whole ovary from a donor to a patient."	
<http://purl.obolibrary.org/obo/MAXO_0010034>	"The surgical transfer of a whole cornea from a donor to a patient."	"NCIT:C50514"
<http://purl.obolibrary.org/obo/MAXO_0000802>	"Clinical recommendation to avoid strenuous exercise that may increase heart rate and temperature."	
<http://purl.obolibrary.org/obo/UBERON_0001088>	"Excretion that is the output of a kidney."	"EMAPA:36554 CALOHA:TS-1092 BTO:0001419 MA:0002545 MESH:D014556 MIAA:0000058 FMA:12274 galen:Urine GAID:1189 NCIT:C13283 EFO:0001939 MAT:0000058 Wikipedia:Urine ENVO:00002047"
<http://purl.obolibrary.org/obo/GO_0051648>	"Any process in which a vesicle or vesicles are transported to, and/or maintained in, a specific location."	
<http://purl.obolibrary.org/obo/MAXO_0000750>	"Administration of high doses of chemotherapy or radiation therapy, as well as immunosuppressive therapy, to a transplant recipient prior to a bone marrow or hematopoietic stem cell transplant.  Conditioning destroys the patient's abnormal blood cells or cancer, as well as slows the patient's immune response against the donor bone marrow (graft rejection)."	"NCIT:C64468"
<http://purl.obolibrary.org/obo/MAXO_0001222>	"The determination of the amount of alpha-fetoprotein present in blood serum."	
<http://purl.obolibrary.org/obo/CHEBI_24669>	"Any carboxylic acid with at least one hydroxy group."	
<http://purl.obolibrary.org/obo/PO_0009010>	"A multi-tissue plant structure (PO:0025496) that develops from a plant ovule (PO:0020003) and has as parts a plant embryo (PO:0009009) enclosed in a seed coat (PO:0009088)."	"FNA:f5c50e73-61e3-48ec-b918-6f85b3f40738 PO_GIT:405"
<http://purl.obolibrary.org/obo/CHEBI_50905>	"A role played by a chemical compound  in biological systems with adverse consequences in embryo developments, leading to birth defects, embryo death or altered development, growth retardation and functional defect."	
<http://purl.obolibrary.org/obo/UBERON_0004732>	"Any segmental subdivision of a nervous system. Includes metameric developmental segments, such as vertebrates neuromeres."	
<http://purl.obolibrary.org/obo/CL_0002420>	"A T cell that has not completed T cell selection."	"CALOHA:TS-1042 BTO:0001372"
<http://purl.obolibrary.org/obo/MAXO_0001516>	"Therapy aids in the development and use of the small muscles of the hands for tasks such as grasping objects, writing, cutting with scissors, shoe-tying, and fastening buttons."	
<http://purl.obolibrary.org/obo/CHEBI_33558>	"An amino-acid anion obtained by deprotonation of any alpha-amino acid."	
<http://purl.obolibrary.org/obo/CL_0000223>	"A cell of the inner of the three germ layers of the embryo."	"FMA:72555"
<http://purl.obolibrary.org/obo/GO_1903046>	"A process that is part of the meiotic cell cycle."	
<http://purl.obolibrary.org/obo/MAXO_0000820>	"Collecting of bile for clinical use."	
<http://purl.obolibrary.org/obo/UBERON_0016435>	"Subdivision of thorax which includes all structures from the skin to the costal pleura. Examples: There is only one chest wall."	"SCTID:181608004 NCIT:C62484 FMA:50060"
<http://purl.obolibrary.org/obo/GO_0022414>	"A biological process that directly contributes to the process of producing new individuals by one or two organisms. The new individuals inherit some proportion of their genetic material from the parent or parents."	"Wikipedia:Reproduction"
<http://purl.obolibrary.org/obo/CL_0000547>	"An immature, nucleated erythrocyte occupying the stage of erythropoeisis that follows formation of erythroid progenitor cells. This cell is CD71-positive, has both a nucleus and a nucleolus, and lacks hematopoeitic lineage markers."	"FMA:83518"
<http://purl.obolibrary.org/obo/UBERON_0016887>	"The part of the conceptus that may be lost before birth or will be discarded at birth, or when the embryo becomes an independent organism."	"AEO:0000195 EHDAA2:0000003 EMAPA:16042"
<http://purl.obolibrary.org/obo/CHEBI_35243>	"An amino acid zwitterion obtained by transfer of a proton from the carboxy to the amino group of serine."	
<http://purl.obolibrary.org/obo/OBI_0000982>	"An image acquisition device that generates a three-dimensional image of the inside of an object from a large series of two-dimensional X-ray images taken around a single axis of rotation."	
<http://purl.obolibrary.org/obo/CL_0002312>	"An acidophilic cell of the anterior pituitary that produces growth hormone, somatotropin."	"MESH:D052683 FMA:83095"
<http://purl.obolibrary.org/obo/MAXO_0000353>	"Removal and examination of tissue, cells, or fluids from diaphragm for the purpose of detecting or characterizing disease."	
<http://purl.obolibrary.org/obo/MAXO_0000182>	"Treatment with a drug that acts on an alpha-adrenergic receptor."	"CHEBI:48539"
<http://purl.obolibrary.org/obo/CHEBI_27207>	"A univalent carboacyl group is a group formed by loss of OH from the carboxy group of a carboxylic acid."	
<http://purl.obolibrary.org/obo/MAXO_0001157>	"A medical requirement or recommendation of avoiding the consumption of fish steak (raw)."	
<http://purl.obolibrary.org/obo/MAXO_0001307>	"A medical examination performed using of magnetic resonance imaging to image the whole body."	
<http://purl.obolibrary.org/obo/UBERON_0019241>		
<http://purl.obolibrary.org/obo/GO_0009593>	"The series of events in which a chemical stimulus is received by a cell and converted into a molecular signal."	
<http://purl.obolibrary.org/obo/CHEBI_50510>		
<http://purl.obolibrary.org/obo/UBERON_0002529>	"A major subdivision of a mature or developing limb, including both skeletal elements (or the mesenchyme that gives rise to the skeletal elements) and associated tissues, such as muscle, connective tissue, integument. Examples: autopod region, zeugopod region, stylopod region, metapodial region, arm region. Excludes the limb girdles."	"MA:0002889 NCIT:C38630 FMA:241863"
<http://purl.obolibrary.org/obo/MAXO_0001243>	"The determination of the amount of vitamin B5 present in the sample."	
<http://purl.obolibrary.org/obo/MAXO_0035114>	"Measurement of peripheral blood lymphocyte response following stimulation to assess the degree of functionality of the cell-mediated immune response. A variety of tests exist to measure intracellular ATP levels, proliferation, and other functional responses."	
<http://purl.obolibrary.org/obo/MAXO_0009067>	"A direct appraisal of a patient's condition by a urology specialist that is based on a physical exam, medical history, and the patient's account of symptoms."	
<http://purl.obolibrary.org/obo/UBERON_0010743>	"The collection of all meningeal layers that line a central nervous system."	"EHDAA2:0004661 NCIT:C12349 Wikipedia:Meninges SCTID:362879001 UMLS:C0228116 neuronames:1465 FMA:231572"
<http://purl.obolibrary.org/obo/FOODON_03400104>	"Liquid food prepared from fruit (21 CFR 146). Products prepared from fruit juice by thickening with pectin are indexed under *FRUIT JELLY*; those thickened with gelatin are under *FRUIT BUTTER, JELLY, PRESERVE OR RELATED PRODUCT*."@en	"http://www.langual.org/langual_thesaurus.asp?termid=A0104"
<http://purl.obolibrary.org/obo/CHEBI_35352>	"Any heteroorganic entity containing at least one carbon-nitrogen bond."	
<http://purl.obolibrary.org/obo/FOODON_03411345>	"Yeasts are eukaryotic micro-organisms classified in the kingdom *Fungi*, with 1,500 species currently described estimated to be only 1% of all fungal species."@en	"http://www.langual.org/langual_thesaurus.asp?termid=B1345"
<http://purl.obolibrary.org/obo/UBERON_0003069>	"A cranial placode which, once specified, invaginates to form an otic cup, which eventually separates from the surface ectoderm to form the otic vesicle or otocyst, a rounded structure without appar- ent polarity. As the otic placode invaginates into a cup neuroblasts delaminate from the anterior ventral aspect of the otic epithelium to give rise to neurons of the vestibulocochlear (statoacoustic) ganglion of cranial nerve VIII[NBK]."	"EHDAA2:0001339 TAO:0000138 AAO:0011079 ZFA:0000138 Wikipedia:Otic_placode FMA:293973 EMAPA:16195 NCIT:C34239 VHOG:0000235 XAO:0000223 EHDAA:506 EFO:0003429"
<http://purl.obolibrary.org/obo/CHEBI_77703>	"An EC 4.3.1.* (ammonia-lyase) inhibitor that interferes with the action of histidine ammonia-lyase (EC 4.3.1.3)."	"Wikipedia:Histidine_ammonia-lyase"
