#GR_shortname	GR_Title	NBK_id	PMID
miccap-ms	Microcephaly-Capillary Malformation Syndrome	NBK174452	24354023
microcephaly	Primary Autosomal Recessive Microcephalies and Seckel Syndrome Spectrum Disorders	NBK9587	20301772
microph-lsd	Microphthalmia with Linear Skin Defects Syndrome	NBK7041	20301767
milroy	Milroy Disease	NBK1239	20301417
mirror	Congenital Mirror Movements	NBK279760	25763452
miyoshi	Dysferlinopathy	NBK1303	20301480
mkks	McKusick-Kaufman Syndrome	NBK1502	20301675
ml2	Mucolipidosis II	NBK1828	20301728
ml3a	Mucolipidosis III Alpha/Beta	NBK1875	20301730
ml3c	Mucolipidosis III Gamma	NBK24701	20301784
ml4	Mucolipidosis IV	NBK1214	20301393
mlc	Megalencephalic Leukoencephalopathy with Subcortical Cysts	NBK1535	20301707
mld	Arylsulfatase A Deficiency	NBK1130	20301309
mma	Isolated Methylmalonic Acidemia	NBK1231	20301409
mmd	Multiminicore Disease	NBK1290	20301467
mngie	Mitochondrial Neurogastrointestinal Encephalopathy Disease	NBK1179	20301358
mona	Multicentric Osteolysis Nodulosis and Arthropathy	NBK373578	27413800
mono7-mds	Familial Monosomy 7 Syndrome	NBK45015	20614583
mota	Manitoba Oculotrichoanal Syndrome	NBK1728	20301721
mpd1	Laing Distal Myopathy	NBK1433	20301606
mpgn	Dense Deposit Disease / Membranoproliferative Glomerulonephritis Type II	NBK1425	20301598
mpph	MPPH Syndrome	NBK396098	27854409
mps1	Mucopolysaccharidosis Type I	NBK1162	20301341
mps4a	Mucopolysaccharidosis Type IVA 	NBK148668	23844448
mpv17-mtdep	MPV17-Related Hepatocerebral Mitochondrial DNA Depletion Syndrome	NBK92947	22593919
mss	Marinesco-Sjogren Syndrome	NBK1192	20301371
mstn	Myostatin-Related Muscle Hypertrophy	NBK1498	20301671
msud	Maple Syrup Urine Disease	NBK1319	20301495
msx2	Enlarged Parietal Foramina	NBK1128	20301307
mt-deafness	Nonsyndromic Hearing Loss and Deafness, Mitochondrial	NBK1422	20301595
mtm	X-Linked Centronuclear Myopathy	NBK1432	20301605
mt-mpan	Mitochondrial Membrane Protein-Associated Neurodegeneration	NBK185329	24575447
mt-overview	Mitochondrial Disorders Overview	NBK1224	20301403
muenke	Muenke Syndrome	NBK1415	20301588
mws	Mowat-Wilson Syndrome	NBK1412	20301585
myh9	MYH9-Related Disorders	NBK2689	20301740
myhre	Myhre Syndrome	NBK425723	28406602
myodef-sda	Myopathy with Deficiency of ISCU	NBK5299	20301757
myo-dystonia	Myoclonus-Dystonia	NBK1414	20301587
myotonia-c	Myotonia Congenita	NBK1355	20301529
myotonic-d	Myotonic Dystrophy Type 1	NBK1165	20301344
myotonic-d2	Myotonic Dystrophy Type 2	NBK1466	20301639
nail-ps	Nail-Patella Syndrome	NBK1132	20301311
narp	Mitochondrial DNA-Associated Leigh Syndrome and NARP	NBK1173	20301352
nbia-ov	Neurodegeneration with Brain Iron Accumulation Disorders Overview	NBK121988	23447832
nbs	Nicolaides-Baraitser Syndrome	NBK321516	26468571
ncl	Neuronal Ceroid-Lipofuscinoses	NBK1428	20301601
ndi	Nephrogenic Diabetes Insipidus	NBK1177	20301356
nem	Nemaline Myopathy	NBK1288	20301465
nephron-ov	Nephronophthisis	NBK368475	27336129
neuroferritin	Neuroferritinopathy	NBK1141	20301320
nf1	Neurofibromatosis 1	NBK1109	20301288
nf2	Neurofibromatosis 2	NBK1201	20301380
nijmegen	Nijmegen Breakage Syndrome	NBK1176	20301355
nkh	Glycine Encephalopathy	NBK1357	20301531
nkx2-1-dis	NKX2-1-Related Disorders	NBK185066	24555207
noonan	Noonan Syndrome	NBK1124	20301303
norrie	NDP-Related Retinopathies	NBK1331	20301506
npab	Acid Sphingomyelinase Deficiency	NBK1370	20301544
npc	Niemann-Pick Disease Type C	NBK1296	20301473
nsdhl-dis	NSDHL-Related Disorders	NBK51754	21290788
oca1	Oculocutaneous Albinism Type 1	NBK1166	20301345
oca2	Oculocutaneous Albinism Type 2	NBK1232	20301410
oca4	Oculocutaneous Albinism Type 4	NBK1510	20301683
ofd1	Oral-Facial-Digital Syndrome Type I	NBK1188	20301367
oi	COL1A1/2-Related Osteogenesis Imperfecta	NBK1295	20301472
ondine	Congenital Central Hypoventilation Syndrome	NBK1427	20301600
opa	Optic Atrophy Type 1	NBK1248	20301426
opd	Otopalatodigital Spectrum Disorders	NBK1393	20301567
opitz	X-Linked Opitz G/BBB Syndrome	NBK1327	20301502
opmd	Oculopharyngeal Muscular Dystrophy	NBK1126	20301305
otc-def	Ornithine Transcarbamylase Deficiency	NBK154378	24006547
pai-1-def	Complete Plasminogen Activator Inhibitor 1 Deficiency	NBK447152	28771291
pancreatitis-ov	Pancreatitis Overview	NBK190101	24624459
papr	Renal Coloboma Syndrome	NBK1451	20301624
paragangliomas	Hereditary Paraganglioma-Pheochromocytoma Syndromes	NBK1548	20301715
parkinson-overview	Parkinson Disease Overview	NBK1223	20301402
pbd	Peroxisome Biogenesis Disorders, Zellweger Syndrome Spectrum	NBK1448	20301621
pc	Pachyonychia Congenita	NBK1280	20301457
pcd	Primary Ciliary Dyskinesia	NBK1122	20301301
pc-hypo-p	TSEN54-Related Pontocerebellar Hypoplasia	NBK9673	20301773
pdc	Pyruvate Carboxylase Deficiency	NBK6852	20301764
pds	Pyridoxine-Dependent Epilepsy	NBK1486	20301659
peaf	Autosomal Dominant Partial Epilepsy with Auditory Features	NBK1537	20301709
pendred	Pendred Syndrome/Nonsyndromic Enlarged Vestibular Aqueduct	NBK1467	20301640
perrault	Perrault Syndrome	NBK242617	25254289
perry	Perry Syndrome	NBK47027	20945553
peters-plus	Peters Plus Syndrome	NBK1464	20301637
pf	Pulmonary Fibrosis, Familial	NBK1230	20301408
pfcp	Primary Familial and Congenital Polycythemia	NBK395975	27831681
pfic	ATP8B1 Deficiency	NBK1297	20301474
ph1	Primary Hyperoxaluria Type 1	NBK1283	20301460
ph2	Primary Hyperoxaluria Type 2	NBK2692	20301742
ph3	Primary Hyperoxaluria Type 3	NBK316514	26401545
pha2	Pseudohypoaldosteronism Type II	NBK65707	22073419
phs	Pallister-Hall Syndrome	NBK1465	20301638
phts	PTEN Hamartoma Tumor Syndrome	NBK1488	20301661
pik3ca-overgrowth	PIK3CA-Related Segmental Overgrowth	NBK153722	23946963
pink1-pd	PINK1 Type of Young-Onset Parkinson Disease 	NBK26472	20301792
pitt-hopkins	Pitt-Hopkins Syndrome	NBK100240	22934316
pjs	Peutz-Jeghers Syndrome	NBK1266	20301443
pkan	Pantothenate Kinase-Associated Neurodegeneration	NBK1490	20301663
pkd-ad	Polycystic Kidney Disease, Autosomal Dominant	NBK1246	20301424
pkd-ar	Polycystic Kidney Disease, Autosomal Recessive	NBK1326	20301501
pknd	Familial Paroxysmal Kinesigenic Dyskinesia	NBK1460	20301633
pku	Phenylalanine Hydroxylase Deficiency	NBK1504	20301677
plosl	Polycystic Lipomembranous Osteodysplasia with Sclerosing Leukoencephalopathy (PLOSL)	NBK1197	20301376
pmd	PLP1-Related Disorders	NBK1182	20301361
pnknd	Familial Paroxysmal Nonkinesigenic Dyskinesia	NBK1221	20301400
pnpla6-dis	PNPLA6-Related Disorders	NBK247161	25299038
poikiloderma-n	Poikiloderma with Neutropenia	NBK459118	29072891
pol3-leuk	POLR3-Related Leukodystrophy	NBK99167	22855961
poly	Polymicrogyria Overview	NBK1329	20301504
pomc-def	Proopiomelanocortin Deficiency	NBK174451	24354022
porphyria-ct	Familial Porphyria Cutanea Tarda	NBK143129	23741761
porphyria-var	Variegate Porphyria	NBK121283	23409300
potocki-lupski	Potocki-Lupski Syndrome	NBK447920	28837307
pp-blastoma	DICER1-Related Disorders	NBK196157	24761742
pph	Heritable Pulmonary Arterial Hypertension	NBK1485	20301658
ppr-dysp	Progressive Pseudorheumatoid Dysplasia	NBK327267	26610319
prion	Genetic Prion Diseases	NBK1229	20301407
prolidase-def	Prolidase Deficiency	NBK299584	26110198
prop1	PROP1-Related Combined Pituitary Hormone Deficiency	NBK1347	20301521
propionic-a	Propionic Acidemia	NBK92946	22593918
proteus	Proteus Syndrome	NBK99495	22876373
prs	Phosphoribosylpyrophosphate Synthetase Superactivity	NBK1973	20301734
prss1-hp	PRSS1-Related Hereditary Pancreatitis	NBK84399	22379635
psach	Pseudoachondroplasia	NBK1487	20301660
ptt	Prothrombin-Related Thrombophilia	NBK1148	20301327
pura-dis	PURA-Related Neurodevelopmental Disorders	NBK426063	28448108
pws	Prader-Willi Syndrome	NBK1330	20301505
pxe	Pseudoxanthoma Elasticum	NBK1113	20301292
rapid-odp	ATP1A3-Related Neurologic Disorders	NBK1115	20301294
rasa1-rel-dis	RASA1-Related Disorders	NBK52764	21348050
rbs	Roberts Syndrome	NBK1153	20301332
rcdp	Rhizomelic Chondrodysplasia Punctata Type 1	NBK1270	20301447
refsum	Refsum Disease	NBK1353	20301527
retinoblastoma	Retinoblastoma	NBK1452	20301625
retinoschisis	X-Linked Juvenile Retinoschisis	NBK1222	20301401
rett	MECP2-Related Disorders	NBK1497	20301670
riboflavin-tn	Riboflavin Transporter Deficiency Neuronopathy	NBK299312	26072523
rickets-xlh	X-Linked Hypophosphatemia	NBK83985	22319799
rob	ROR2-Related Robinow Syndrome	NBK1240	20301418
rob-ad	Autosomal Dominant Robinow Syndrome	NBK268648	25577943
rotor	Rotor Syndrome	NBK114805	23236639
rp-overview	Nonsyndromic Retinitis Pigmentosa Overview	NBK1417	20301590
rrm2b-mtddepl	RRM2B-Related Mitochondrial Disease	NBK195854	24741716
rss	Russell-Silver Syndrome	NBK1324	20301499
rsts	Rubinstein-Taybi Syndrome	NBK1526	20301699
rts	Rothmund-Thomson Syndrome	NBK1237	20301415
rws	Long QT Syndrome	NBK1129	20301308
salih-myo	Salih Myopathy	NBK83297	22238790
samd9l-ap	SAMD9L-Related Ataxia-Pancytopenia Syndrome	NBK435692	28570036
satb2-dis	SATB2-Associated Syndrome	NBK458647	29023086
sca1	Spinocerebellar Ataxia Type  1	NBK1184	20301363
sca10	Spinocerebellar Ataxia Type 10	NBK1175	20301354
sca11	Spinocerebellar Ataxia Type 11	NBK1757	20301723
sca12	Spinocerebellar Ataxia Type 12	NBK1202	20301381
sca13	Spinocerebellar Ataxia Type 13	NBK1225	20301404
sca14	Spinocerebellar Ataxia Type 14	NBK1399	20301573
sca15	Spinocerebellar Ataxia Type 15	NBK1362	20301536
sca17	Spinocerebellar Ataxia Type 17	NBK1438	20301611
sca2	Spinocerebellar Ataxia Type 2	NBK1275	20301452
sca20	Spinocerebellar Ataxia Type 20	NBK1471	20301644
sca28	Spinocerebellar Ataxia Type 28	NBK54582	21595125
sca3	Spinocerebellar Ataxia Type 3	NBK1196	20301375
sca36	Spinocerebellar Ataxia Type 36	NBK231880	25101480
sca6	Spinocerebellar Ataxia Type 6	NBK1140	20301319
sca7	Spinocerebellar Ataxia Type 7	NBK1256	20301433
sca8	Spinocerebellar Ataxia Type 8	NBK1268	20301445
scad	Short-Chain Acyl-CoA Dehydrogenase Deficiency	NBK63582	21938826
sca-io	Infantile-Onset Spinocerebellar Ataxia	NBK3795	20301746
scan1	Spinocerebellar Ataxia with Axonal Neuropathy, Autosomal Recessive	NBK1105	20301284
scn8a-ee	SCN8A-Related Epilepsy with Encephalopathy	NBK379665	27559564
scs	Saethre-Chotzen Syndrome	NBK1189	20301368
sds	Shwachman-Diamond Syndrome	NBK1756	20301722
sedt	X-Linked Spondyloepiphyseal Dysplasia Tarda	NBK1145	20301324
sft	Sialuria	NBK1164	20301343
sgbs	Simpson-Golabi-Behmel Syndrome Type 1	NBK1219	20301398
sgs	Shprintzen-Goldberg Syndrome	NBK1277	20301454
short	SHORT Syndrome	NBK201365	24830046
sickle	Sickle Cell Disease	NBK1377	20301551
sider-anemia	X-Linked Sideroblastic Anemia and Ataxia	NBK1321	20301496
siod	Schimke Immunoosseous Dysplasia	NBK1376	20301550
slc39a14-def	SLC39A14 Deficiency	NBK431123	28541650
slc6a3-dtds	SLC6A3-Related Dopamine Transported Deficiency Syndrome	NBK442323	28749637
slo	Smith-Lemli-Opitz Syndrome	NBK1143	20301322
sma	Spinal Muscular Atrophy	NBK1352	20301526
sma-xli	Spinal Muscular Atrophy, X-Linked Infantile	NBK2594	20301739
sms	Smith-Magenis Syndrome	NBK1310	20301487
snyder-robinson	Snyder-Robinson Syndrome	NBK144284	23805436
sost	SOST-Related Sclerosing Bone Dysplasias	NBK1228	20301406
sotos	Sotos Syndrome	NBK1479	20301652
sox2	SOX2-Related Eye Disorders	NBK1300	20301477
spg11	Spastic Paraplegia 11	NBK1210	20301389
spg17	BSCL2-Related Neurologic Disorders/Seipinopathy	NBK1307	20301484
spg20	Troyer Syndrome	NBK1382	20301556
spg3a	Spastic Paraplegia 3A	NBK45978	20862796
spg4	Spastic Paraplegia 4	NBK1160	20301339
spg7	Spastic Paraplegia 7	NBK1107	20301286
spg8	Spastic Paraplegia 8	NBK1827	20301727
spondylocostal-d	Spondylocostal Dysostosis, Autosomal Recessive	NBK8828	20301771
spr-def	Sepiapterin Reductase Deficiency	NBK304122	26131547
ssadh	Succinic Semialdehyde Dehydrogenase Deficiency	NBK1195	20301374
stickler	Stickler Syndrome	NBK1302	20301479
stsl	Sitosterolemia	NBK131810	23556150
stxbp1-ee	STXBP1 Encephalopathy with Epilepsy	NBK396561	27905812
sucla2-def	SUCLA2-Related Mitochondrial DNA Depletion Syndrome, Encephalomyopathic Form with Methylmalonic Aciduria	NBK6803	20301762
suclg1-mtddepl	SUCLG1-Related Mitochondrial DNA Depletion Syndrome, Encephalomyopathic Form with Methylmalonic Aciduria	NBK425223	28358460
syne1ca-ar	SYNE1-Related Autosomal Recessive Cerebellar Ataxia	NBK1379	20301553
sys-h	Hyalinosis, Inherited Systemic	NBK1525	20301698
taa	Heritable Thoracic Aortic Disease Overview	NBK1120	20301299
tar	Thrombocytopenia Absent Radius Syndrome	NBK23758	20301781
tardbp-als	TARDBP-Related Amyotrophic Lateral Sclerosis	NBK5942	20301761
tay-sachs	Hexosaminidase A Deficiency	NBK1218	20301397
tbc1d24-dis	TBC1D24-Related Disorders	NBK274566	25719194
tbs	Townes-Brocks Syndrome	NBK1445	20301618
tcs	Treacher Collins Syndrome	NBK1532	20301704
td	Thanatophoric Dysplasia	NBK1366	20301540
tef-ov	Esophageal Atresia/Tracheoesophageal Fistula Overview	NBK5192	20301753
tetra-amelia	Tetra-Amelia Syndrome	NBK1276	20301453
tfap	Familial Transthyretin  Amyloidosis	NBK1194	20301373
tfr2	TFR2-Related Hereditary Hemochromatosis	NBK1349	20301523
thctd	MCT8-Specific Thyroid Hormone Cell-Membrane Transporter Deficiency	NBK26373	20301789
thdrd	Tyrosine Hydroxylase Deficiency	NBK1437	20301610
timothy	Timothy Syndrome	NBK1403	20301577
tk2-mtddepl	TK2-Related Mitochondrial DNA Depletion Syndrome, Myopathic Form	NBK114628	23230576
tps	Trichorhinophalangeal Syndrome	NBK425926	28426188
trimethylaminuria	Primary Trimethylaminuria	NBK1103	20301282
trio-id	TRIO-Related Intellectual Disability	NBK447257	28796471
trma	Thiamine-Responsive Megaloblastic Anemia Syndrome	NBK1282	20301459
tubb4a-leuk	TUBB4A-Related Leukodystrophy	NBK395611	27809427
tuberous-sclerosis	Tuberous Sclerosis Complex	NBK1220	20301399
tubulin-ov	Tubulinopathies Overview	NBK350554	27010057
tyrosinemia	Tyrosinemia Type I	NBK1515	20301688
ucd-overview	Urea Cycle Disorders Overview	NBK1217	20301396
udd	Udd Distal Myopathy	NBK1323	20301498
unc80-def	UNC80 Deficiency	NBK453434	28933810
urofacial	Urofacial Syndrome	NBK154138	23967498
usher1	Usher Syndrome Type I	NBK1265	20301442
usher2	Usher Syndrome Type II	NBK1341	20301515
vhl	Von Hippel-Lindau Syndrome	NBK1463	20301636
vlcad	Very Long-Chain Acyl-Coenzyme A Dehydrogenase Deficiency	NBK6816	20301763
vldlr-ch	VLDLR-Associated Cerebellar Hypoplasia	NBK1874	20301729
vmcm	Multiple Cutaneous and Mucosal Venous Malformations	NBK1967	20301733
vodi	Hepatic Veno-Occlusive Disease with Immunodeficiency	NBK1271	20301448
von-willebrand	von Willebrand Disease	NBK7014	20301765
vps35-pd	VPS35-Related Parkinson Disease	NBK447258	28796472
vws	IRF6-Related Disorders	NBK1407	20301581
wagner	VCAN-Related Vitreoretinopathy	NBK3821	20301747
was	WAS-Related Disorders	NBK1178	20301357
weaver	EZH2-Related Overgrowth	NBK148820	23865096
weill-ms	Weill-Marchesani Syndrome	NBK1114	20301293
werner	Werner Syndrome	NBK1514	20301687
wfs	WFS1-Related Disorders	NBK4144	20301750
whs	Wolf-Hirschhorn Syndrome	NBK1183	20301362
williams	Williams Syndrome	NBK1249	20301427
wilms-ov	Wilms Tumor Predisposition	NBK1294	20301471
wilson	Wilson Disease	NBK1512	20301685
ws1	Waardenburg Syndrome Type I	NBK1531	20301703
wss	Woodhouse-Sakati Syndrome	NBK378974	27489925
x-ald	X-Linked Adrenoleukodystrophy	NBK1315	20301491
x-dcdp	Chondrodysplasia Punctata 2, X-Linked	NBK55062	21634086
xdp	X-Linked Dystonia-Parkinsonism Syndrome	NBK1489	20301662
x-hed	Hypohidrotic Ectodermal Dysplasia	NBK1112	20301291
xla	X-Linked Agammaglobulinemia	NBK1453	20301626
xlhi	X-Linked Hyper IgM Syndrome	NBK1402	20301576
xlmr	Alpha-Thalassemia X-Linked Intellectual Disability Syndrome	NBK1449	20301622
xl-nystag	FRMD7-Related Infantile Nystagmus	NBK3822	20301748
x-lpd	Lymphoproliferative Disease, X-Linked	NBK1406	20301580
x-oa	Ocular Albinism, X-Linked	NBK1343	20301517
xp	Xeroderma Pigmentosum	NBK1397	20301571
x-pvh	FLNA-Related Periventricular Nodular Heterotopia	NBK1213	20301392
xq28-dup	Xq28 Duplication Syndrome, Int22h1/Int22h2 Mediated	NBK349624	26962617
x-scid	X-Linked Severe Combined Immunodeficiency	NBK1410	20301584
xxms	Nonsyndromic 46,XX Testicular Disorders of Sex Development	NBK1416	20301589
yci	Y Chromosome Infertility	NBK1339	20301513
zap70-scid	ZAP70-Related Combined Immunodeficiency	NBK20221	20301777
